Country_Name,Country_Code,Series_Name,Series_Code,[YR2005],[YR2006],[YR2007], [YR2008],[YR2009], [YR2010],[YR2011],[YR2012], [YR2013], [YR2014], [YR2015],[YR2016], [YR2017], [YR2018]
Afghanistan,AFG,CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,NA,3,3,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Afghanistan,AFG,CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,NA,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2,2
Afghanistan,AFG,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,NA,3,3,3,3.5,2.5,2.5,2.5,2.5,3,3,2.5,2.5,2.5
Afghanistan,AFG,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,NA,3.333333333,3.166666667,3.2,3.333333333,3,3,3,3,3,3,3,3,3
Afghanistan,AFG,CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,NA,2.5,2.5,2.5,3,3,3,3,3,3,3,3,3,3
Afghanistan,AFG,CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,NA,2.5,2.5,2.5,3,3,3,3,3,3,3,3,3,3
Afghanistan,AFG,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,NA,2,2,2.5,2.5,2,2,2,2,2,2,2,2,2
Afghanistan,AFG,CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,NA,3,3,3,3,3,3,3,3,2.5,2.5,3,3,3
Afghanistan,AFG,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,NA,2,2,2,2,2,2,2,1.5,1.5,1.5,1.5,1.5,1.5
Afghanistan,AFG,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,NA,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Afghanistan,AFG,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,NA,2.3,2.3,2.5,2.6,2.6,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.6
Afghanistan,AFG,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,NA,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Afghanistan,AFG,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,NA,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,2,2
Afghanistan,AFG,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,NA,2.3,2.2,2.2,2.4,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6
Afghanistan,AFG,CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,NA,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Afghanistan,AFG,CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,NA,2,2,2,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Afghanistan,AFG,CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ,NA,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Afghanistan,AFG,CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,NA,2.5,2.333333333,2.5,2.666666667,2.5,2.5,2.5,2.5,2.5,2.66667,2.66667,2.5,2.5
Afghanistan,AFG,CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ,NA,3,2.5,2.5,3,3,3,3,3,3,3.5,3.5,3.5,3.5
Afghanistan,AFG,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,NA,2.5,2,2,2,2,2,2,2,2,2,2,2,2
Afghanistan,AFG,IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,NA,2.608333333,2.5,2.6,2.75,2.625,2.675,2.675,2.65,2.65,2.69167,2.71667,2.675,2.675
Angola,AGO,CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,2.5,2.5,2.5,2.5,2.5,2.5,3,3,3,NA,NA,NA,NA,NA
Angola,AGO,CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA
Angola,AGO,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,2,2,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
Angola,AGO,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,2.5,2.666666667,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
Angola,AGO,CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,NA,NA,NA,NA,NA
Angola,AGO,CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,NA,NA,NA,NA,NA
