"","Country","ISO3","HDI.Rank..2018.","X2018"
"2","Switzerland","CHE",2,0.946
"4","Germany","DEU",4,0.939
"6","Australia","AUS",6,0.938
"10","Netherlands","NLD",10,0.934
"11","Denmark","DNK",11,0.93
"13","Canada","CAN",13,0.922
"15","United Kingdom","GBR",15,0.92
"16","United States","USA",15,0.92
"17","Belgium","BEL",17,0.919
"27","France","FRA",26,0.891
"48","Argentina","ARG",48,0.83
"49","Russian Federation","RUS",49,0.824
"77","Thailand","THA",77,0.765
"85","China","CHN",85,0.758
"88","Ukraine","UKR",88,0.75
"129","India","IND",129,0.647
"143","Zambia","ZMB",143,0.591
"147","Kenya","KEN",147,0.579
"152","Pakistan","PAK",152,0.56
"157","Rwanda","RWA",157,0.536
"159","Tanzania, United Republic of","TZA",159,0.528
"160","Uganda","UGA",159,0.528
"168","Sudan","SDN",168,0.508
"185","Burundi","BDI",185,0.423
