Country,Weighted Average,Minimum,Maximum,Range,Standard deviation
Afghanistan,16.52815185,6.00E-04,0.9385,0.9379,0.148449113
Albania,20.43740883,9.00E-04,0.9995,0.9986,0.252461767
Algeria,32.88615814,0.0112,0.9893,0.9781,0.185025899
Andorra,0.73590477,0.0035,0.011,0.0075,0.002574663
Angola,57.04160737,6.00E-04,1,0.9994,0.15231925
Antigua and Barbuda,68.72975309,0.3533,0.7956,0.4423,0.123780278
Argentina,56.90039281,0.0012,1,0.9988,0.270139947
Armenia,34.41165668,0.0063,0.9997,0.9934,0.260962733
Australia,45.76132563,0.0033,1,0.9967,0.185820235
Austria,25.89464488,0.0032,0.9634,0.9602,0.231862226
Azerbaijan,44.68448225,0.0018,0.9713,0.9695,0.254483123
Bahamas,42.76331245,0.2666,1,0.7334,0.110521382
Bangladesh,61.45996323,0.0062,0.9399,0.9337,0.179154176
Barbados,86.88109372,0.6777,0.9898,0.3121,0.113172361
Belarus,88.96449968,0.3203,1.0003,0.68,0.14491325
Belgium,68.85947773,0.0552,0.9991,0.9439,0.224781441
Belize,48.0183476,0.0614,0.9078,0.8464,0.188964317
Benin,72.39469245,0.3302,1,0.6698,0.106596733
Bhutan,3.169393985,0.001,0.7193,0.7183,0.140632415
Bolivia (Plurinational State of),61.12154341,0.005,1.0001,0.9951,0.294409395
Bosnia and Herzegovina,34.56051256,0.0198,0.9982,0.9784,0.264367892
Botswana,48.95233836,0.0039,0.9726,0.9687,0.170254933
Brazil,50.48080108,0.0065,1.0001,0.9936,0.173744002
Brunei Darussalam,36.92791558,0.0142,0.6033,0.5891,0.153114253
Bulgaria,49.58752357,0.0045,0.9937,0.9892,0.326349657
Burkina Faso,66.46376903,0.1653,1,0.8347,0.175441924
Burundi,31.19946378,0.019,0.776,0.757,0.144710954
Cambodia,51.27882354,0.0146,0.9368,0.9222,0.218034444
Cameroon,58.42674236,0.013,1.0001,0.9871,0.197391684
Canada,42.83377178,2.00E-04,1.0003,1.0001,0.249856628
Cabo Verde,15.36889422,0.0054,0.3069,0.3015,0.088293691
Central African Republic,60.32404669,0.0743,1.0001,0.9258,0.142547173
Chad,54.6158252,0.0032,1.0001,0.9969,0.271619787
Chile,30.79806567,2.00E-04,1,0.9998,0.26736908
China,26.29814547,1.00E-04,1,0.9999,0.236687869
Colombia,42.96434004,0.0019,0.9934,0.9915,0.257300942
Comoros,20.46568323,0.0229,0.9067,0.8838,0.178796584
Congo,59.90747877,0.0246,0.8648,0.8402,0.149197978
Costa Rica,31.78688164,9.00E-04,0.9361,0.9352,0.243817485
Croatia,52.64293301,0.0045,1,0.9955,0.334897557
Cuba,72.25686281,0.0103,1,0.9897,0.219643468
Cyprus,18.60720217,0.0132,0.7778,0.7646,0.146641674
Czech Republic,44.50553137,0.0232,1,0.9768,0.234320523
Côte d&#39;Ivoire,58.32243907,0.0231,1,0.9769,0.119096718
Democratic People&#39;s Republic of Korea,17.97072874,0.0026,1,0.9974,0.283344692
Democratic Republic of the Congo,56.97342489,4.00E-04,1,0.9996,0.132009806
Denmark,76.38053942,0.1534,1,0.8466,0.159758145
Dominica,17.86092166,0.0446,0.5998,0.5552,0.126380146
Dominican Republic,51.34969983,0.0328,0.9969,0.9641,0.245087039
Ecuador,33.11867364,0.0031,0.9468,0.9437,0.241381069
El Salvador,42.47130313,0.0182,0.9995,0.9813,0.266435183
Equatorial Guinea,37.02680963,0.0354,0.6845,0.6491,0.159795307
Eritrea,19.36777099,0.0031,0.5494,0.5463,0.117998681
Estonia,44.62210613,0.0036,0.9535,0.9499,0.151745969
Ethiopia,39.14827346,3.00E-04,1,0.9997,0.247238944
Faroe Islands (Associate Member),6.33,0.0633,0.0633,0,0
Fiji,24.86230908,0.0366,0.7992,0.7626,0.180026529
Finland,33.93293427,0.0017,0.8183,0.8166,0.138003747
France,51.76363664,0.0015,1.0001,0.9986,0.264570623
Gabon,41.59711042,0.0664,0.711,0.6446,0.149260196
Gambia,70.60415789,0.4619,0.8905,0.4286,0.096137054
Georgia,32.30771514,1.00E-04,1,0.9999,0.332032931
Germany,52.09178618,0.0062,1,0.9938,0.23287476
Ghana,59.86845868,0.004,1,0.996,0.165152171
Greece,20.90771459,3.00E-04,0.9532,0.9529,0.214418991
Grenada,34.95522808,0.1718,0.7889,0.6171,0.200277144
Guatemala,39.91421583,0.0058,1,0.9942,0.292776216
Guinea-Bissau,66.62715535,0.2293,0.9439,0.7146,0.16993339
Guinea,47.08189202,0.0315,0.9969,0.9654,0.213158328
Guyana,52.68264427,0.0411,0.7902,0.7491,0.1880955
Haiti,43.74810085,0.0329,0.9993,0.9664,0.251928283
Holy See,11.2,0.112,0.112,0,0
Honduras,34.06254342,0.0081,1,0.9919,0.288087686
Hungary,75.33165249,0.058,1,0.942,0.168137114
Iceland,12.91636111,0.084,0.1602,0.0762,0.0381
India,58.21561928,5.00E-04,1.0001,0.9996,0.239602798
Indonesia,35.46031494,0.0014,1,0.9986,0.243839128
Iran (Islamic Republic of),17.10200682,1.00E-04,0.8497,0.8496,0.143844382
Iraq,27.79615549,0.0077,0.863,0.8553,0.185160005
Ireland,50.85934177,0.004,1,0.996,0.20664371
Israel,36.1930752,0.0167,0.8894,0.8727,0.24820243
Italy,23.47735964,0.0011,0.9998,0.9987,0.225704416
Jamaica,36.43903891,0.0073,0.7778,0.7705,0.192000197
Japan,25.09016236,0.0015,1,0.9985,0.269212174
Jordan,16.55853296,0.0073,0.5251,0.5178,0.078229669
Kazakhstan,34.77878937,8.00E-04,0.9942,0.9934,0.163121005
Kenya,53.55669178,0.0096,1,0.9904,0.223043475
Kyrgyzstan,22.97189801,4.00E-04,0.9942,0.9938,0.238601299
