Country,Weighted Average,Minimum,Maximum,Range,Standard deviation
Afghanistan,21.13849238,1.00E-04,0.8338,0.8337,0.165026551
Albania,28.54743893,0.0084,0.956,0.9476,0.231878611
Algeria,16.52035071,1.00E-04,0.9987,0.9986,0.231889665
Andorra,3.095767229,0.008,0.0498,0.0418,0.012285863
Angola,35.73764633,0.0019,0.7347,0.7328,0.095167397
Antigua and Barbuda,47.46493726,0.3108,0.8721,0.5613,0.166756307
Argentina,47.29436531,1.00E-04,1.0001,1,0.273353475
Armenia,52.66949478,0.0249,0.9998,0.9749,0.252625714
Australia,31.66716275,0.0019,1,0.9981,0.127112841
Austria,28.57028556,0.0109,0.8947,0.8838,0.204570071
Azerbaijan,52.10129057,0.0079,0.9998,0.9919,0.227985988
Bahamas,35.52012493,0.2666,0.5165,0.2499,0.069699487
Bahrain,1.425322882,0.0068,0.0497,0.0429,0.010487121
Bangladesh,40.20731526,0.004,0.6701,0.6661,0.112143885
Barbados,57.94325487,0.3301,0.9666,0.6365,0.231308504
Belarus,57.54632798,0.1667,0.7778,0.6111,0.172573895
Belgium,49.55332173,0.0306,0.8766,0.846,0.156856139
Belize,31.81293563,0.034,0.5966,0.5626,0.132661447
Benin,52.01950216,0.1664,0.9486,0.7822,0.110836426
Bhutan,2.556880657,0.0011,0.3716,0.3705,0.081220663
Bolivia (Plurinational State of),42.84073462,1.00E-04,1,0.9999,0.192853371
Bosnia and Herzegovina,44.24189096,0.0316,0.9914,0.9598,0.207129871
Botswana,29.13818166,1.00E-04,0.6103,0.6102,0.108886757
Brazil,30.78975535,6.00E-04,0.9911,0.9905,0.126220924
Brunei Darussalam,19.299245,0.0093,0.3077,0.2984,0.072987247
Bulgaria,50.12128519,0.0318,1,0.9682,0.263844084
Burkina Faso,42.70450656,0.1664,0.9699,0.8035,0.13939397
Burundi,26.51314625,0.0228,0.7174,0.6946,0.085069953
Cambodia,33.1003992,0.0123,0.7476,0.7353,0.133274551
Cameroon,35.00296795,0.0074,0.8968,0.8894,0.135418367
Canada,37.68159528,2.00E-04,1.0002,1,0.216076665
Cabo Verde,15.13501248,0.0336,0.25,0.2164,0.053227084
Central African Republic,36.64925682,0.0775,0.7729,0.6954,0.086483878
Chad,32.24101348,1.00E-04,0.8065,0.8064,0.162623512
Chile,29.63592288,1.00E-04,1.0001,1,0.239789294
China,30.16027779,1.00E-04,1,0.9999,0.231120172
Colombia,26.16796903,0.001,0.8034,0.8024,0.139286854
Comoros,18.35218713,0.0206,0.6919,0.6713,0.155937877
Congo,27.77500403,0.0103,0.5276,0.5173,0.069811981
Costa Rica,29.44389796,0.0011,0.847,0.8459,0.192186968
Croatia,43.61909347,0.0062,0.9585,0.9523,0.204351785
Cuba,45.36036483,0.0318,0.982,0.9502,0.212803364
Cyprus,28.11932767,0.0611,0.7737,0.7126,0.123029921
Czech Republic,42.06815523,0.1093,0.9897,0.8804,0.18503243
Côte d&#39;Ivoire,34.02508511,0.0144,0.8624,0.848,0.0929085
Democratic People&#39;s Republic of Korea,18.71542988,0.002,1,0.998,0.221383225
Democratic Republic of the Congo,33.77930736,0.0011,1.0001,0.999,0.100150106
Denmark,58.47345293,0.2182,0.9698,0.7516,0.174205687
Djibouti,6.175095394,0.001,0.1667,0.1657,0.050025765
Dominica,27.87554277,0.1664,0.5308,0.3644,0.088091256
Dominican Republic,50.01275959,0.1603,0.8618,0.7015,0.177093503
Ecuador,27.96675878,0.003,0.9201,0.9171,0.167773185
El Salvador,39.40650544,0.0424,0.9288,0.8864,0.196596242
Equatorial Guinea,18.77874158,0.0356,0.4882,0.4526,0.084343551
Eritrea,16.8652021,1.00E-04,0.6721,0.672,0.105791626
Estonia,31.9577458,0.0027,0.6907,0.688,0.080091366
Ethiopia,30.33837843,2.00E-04,1,0.9998,0.184607424
Fiji,12.51158452,0.0151,0.6201,0.605,0.113701411
Finland,25.20181366,0.0017,0.7009,0.6992,0.083141847
France,46.75692222,0.0016,1,0.9984,0.191529667
Gabon,22.89094537,0.0301,0.4286,0.3985,0.071940958
Gambia,36.04418845,0.2051,0.4808,0.2757,0.05057713
Georgia,36.49510458,0.0036,1,0.9964,0.320495019
Germany,44.67635655,0.007,1,0.993,0.149553206
