List of products commercialized by Uganda ,,,,,,,,,,
detailed products in the following category: 10 Cereals,,,,,,,,,,
,,,,,,,,,,
"Sources: ITC calculations based on Uganda Bureau of Statistics (UBOS) statistics since January, 2017.",,,,,,,,,,
"               ITC calculations based on UN COMTRADE statistics since January, 2016 and until January, 2017.",,,,,,,,,,
"               ITC calculations based on Uganda Bureau of Statistics (UBOS) statistics since January, 2015 and until January, 2016.",,,,,,,,,,
"               ITC calculations based on UN COMTRADE statistics until January, 2015.",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data based on the partner reported data (Mirror data) are shown in orange,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,
,,,,,,,,,,
Code,Product label,"Balance in value in 2012,US Dollar thousand","Balance in value in 2013,US Dollar thousand","Balance in value in 2014,US Dollar thousand","Balance in value in 2015,US Dollar thousand","Balance in value in 2016,US Dollar thousand","Balance in value in 2017,US Dollar thousand","Balance in value in 2018,US Dollar thousand",,
'1008,"Buckwheat, millet, canary seed and other cereals (excluding wheat and meslin, rye, barley, ...",347,516,3407,15720,8768,21779,8178,"57,852",positive
'1005,Maize or corn,41246,26081,28061,61762,55190,80980,88767,"314,760",positive
'1003,Barley,13,-38,-7199,-5023,-2229,-4789,-2082,"-21,322",negative
'1006,Rice,20203,18446,42982,24046,27032,65410,49982,"209,452",negative
'1001,Wheat and meslin,16009,60999,165271,122602,127769,147420,154071,"717,133",negative
'1002,Rye,10,1,36,0,-2,18,0,52,positive
'1004,Oats,120,292,367,1716,2205,945,850,"6,083",positive
'1007,Grain sorghum,-2233,-902,1456,36072,3671,47683,64006,"152,888",positive
