code,product_label,burundi_exported_value_2001,burundi_exported_value_2002,burundi_exported_value_2003,burundi_exported_value_2004,burundi_exported_value_2005,burundi_exported_value_2006,burundi_exported_value_2007,burundi_exported_value_2008,burundi_exported_value_2009,burundi_exported_value_2010,burundi_exported_value_2011,burundi_exported_value_2012,burundi_exported_value_2013,burundi_exported_value_2014,burundi_exported_value_2015,burundi_exported_value_2016,burundi_exported_value_2017,burundi_exported_value_2018
'TOTAL,All products,42156,26560,65903,82725,113756,228522,156195,141786,112932,118156,197836,242700,206946,141501,113791,123056,149406,169071
'09,"Coffee, tea, maté and spices",27959,17941,25905,29803,47339,39388,45017,46249,47350,80508,87881,80454,43511,65154,52504,59118,65016,67005
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",6292,3328,33279,43178,54611,85549,53076,60998,28979,13009,59329,105201,120445,24352,13751,15286,36750,45433
'26,"Ores, slag and ash",3689,791,370,460,987,2848,1867,5239,1979,3416,10514,17252,6565,2203,1361,3598,8094,14128
'11,Products of the milling industry; malt; starches; inulin; wheat gluten,0,0,4,11,47,13,17,3,104,586,268,2,2945,4652,5639,5676,8111,9262
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",0,0,212,5,38,351,5910,1128,1584,2444,671,526,1,726,438,2194,348,6877
'22,"Beverages, spirits and vinegar",1331,1220,1106,1884,1305,593,857,1843,1460,1895,2311,2880,2867,5653,6200,5646,6904,5274
'24,Tobacco and manufactured tobacco substitutes,790,424,1017,1025,1145,1102,935,1572,1441,1383,1300,2823,4130,3255,5325,5341,6753,4555
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",7,5,32,87,68,147,63,646,1298,207,21,401,75,267,312,121,873,2130
'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",0,0,0,3,0,6,0,59,22,4,50,37,17,56,22,141,151,1847
'41,Raw hides and skins (other than furskins) and leather,57,27,44,258,418,1719,3696,3319,1908,3617,6430,6950,2598,3177,4377,1073,621,1490
'39,Plastics and articles thereof,157,264,130,163,237,3,153,541,314,122,349,2605,138,6058,4066,3275,3525,1419
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",0,0,816,280,2114,44409,12679,8112,9661,1604,4060,6185,583,2937,1374,3185,940,1400
'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",0,9,19,2,36,108,78,911,1321,1306,4290,5912,8259,7659,6438,4331,1193,1188
'72,Iron and steel,0,0,3,58,437,498,1410,1797,2106,2042,1886,1756,2785,3329,1844,1624,1089,885
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",2,102,129,363,113,2479,1706,824,1000,592,8149,687,1646,995,1033,1332,655,623
'08,Edible fruit and nuts; peel of citrus fruit or melons,4,0,0,0,0,0,22,113,3909,95,84,139,243,236,174,336,258,589
'88,"Aircraft, spacecraft, and parts thereof",0,3,6,0,91,18615,387,1,3,0,0,0,0,0,0,5,105,581
'23,Residues and waste from the food industries; prepared animal fodder,0,0,0,1,0,0,0,9,0,8,12,3,223,695,611,713,637,552
'84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",9,1,472,149,269,2874,4024,1972,1929,505,2848,2698,70,2366,499,1746,676,532
'76,Aluminium and articles thereof,0,0,2,42,10,0,91,27,3,9,1,3,4012,26,85,48,103,361
'17,Sugars and sugar confectionery,1208,1777,1432,2987,1228,447,6152,1448,1796,502,3,2,3,42,14,0,557,342
'63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,0,8,151,32,218,690,1783,48,103,20,16,77,14,258,93,118,159,239
'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",0,0,4,7,0,0,0,247,32,15,6,12,76,22,12,338,20,231
'70,Glass and glassware,54,0,0,533,75,20,11,303,13,35,3691,2945,258,3876,3974,3817,3979,227
'15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...,1,27,16,304,7,20,35,58,0,126,54,72,304,9,8,270,233,215
'10,Cereals,0,84,0,45,0,27,599,340,158,243,221,3,1,180,16,2,0,197
'73,Articles of iron or steel,0,1,0,34,104,106,962,5,1,144,597,886,495,502,495,284,265,196
'96,Miscellaneous manufactured articles,0,0,1,25,33,1393,1898,1,192,184,455,168,11,216,805,584,271,184
'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",73,65,73,77,196,114,167,540,287,184,44,66,52,103,78,239,88,157
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",0,0,28,17,30,3685,5166,29,125,48,42,43,115,232,190,105,167,116
'49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",1,0,31,6,13,8,15,26,38,90,2,20,1,17,5,8,150,109
'29,Organic chemicals,0,0,0,0,0,96,260,7,0,69,0,2,5,5,4,0,0,86
'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",0,0,21,0,14,7,26,10,10,24,30,65,0,226,31,10,39,77
'52,Cotton,1,3,27,93,1918,1240,1621,1127,1917,1519,381,4,1741,96,58,63,12,75
'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",0,0,0,0,3,24,26,69,0,20,8,78,39,148,232,31,109,61
'40,Rubber and articles thereof,2,0,0,6,0,997,5,11,244,0,73,22,35,311,487,26,33,57
'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",2,0,58,189,76,5,82,121,0,5,12,1,25,19,0,0,1,57
'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",0,0,3,13,20,233,318,349,170,343,347,213,139,122,59,44,12,40
'69,Ceramic products,0,0,115,21,19,93,21,4,15,2,28,0,0,35,14,11,37,36
'38,Miscellaneous chemical products,0,0,21,0,4,2,0,0,0,0,7,14,60,216,75,11,8,31
'99,Commodities not elsewhere specified,75,15,0,0,0,0,386,541,311,202,314,323,1334,37,0,0,0,24
'06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",174,261,2,12,104,233,294,174,56,46,92,39,36,23,18,36,20,21
'20,"Preparations of vegetables, fruit, nuts or other parts of plants",0,0,23,1,11,3,351,17,6,2,5,13,5,10,1,1,4,14
'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",0,0,0,0,0,0,1,0,0,2,0,16,130,0,2,118,37,12
'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",183,156,138,162,171,207,228,207,227,184,217,179,324,324,216,122,3,11
'54,Man-made filaments; strip and the like of man-made textile materials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
'64,"Footwear, gaiters and the like; parts of such articles",0,0,5,1,1,1,6,1,2,48,0,4,1,1,0,1,10,10
'01,Live animals,7,3,12,4,0,0,0,0,0,0,0,2,3,2,4,6,0,9
'92,Musical instruments; parts and accessories of such articles,0,0,3,0,0,0,1,1,8,2,40,35,5,90,3,55,1,9
'56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",0,0,0,0,6,5,0,0,0,0,0,0,0,1,0,1,43,7
'78,Lead and articles thereof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",0,0,0,0,0,0,32,3,0,2,0,5,9,4,1,13,2,7
'44,Wood and articles of wood; wood charcoal,3,4,14,13,4,16,22,4,121,49,17,102,12,13,212,99,11,6
'95,"Toys, games and sports requisites; parts and accessories thereof",0,0,1,4,1,2,32,31,0,0,1,1,0,0,2,3,8,6
'07,Edible vegetables and certain roots and tubers,6,0,1,10,0,7,120,35,40,63,96,92,117,176,168,64,96,5
'05,"Products of animal origin, not elsewhere specified or included",0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,47,91,4
'21,Miscellaneous edible preparations,13,0,0,23,0,0,167,315,178,9,1,116,328,62,233,279,25,4
'42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",0,0,0,0,1,17,263,0,1,0,0,74,0,26,0,0,0,4
'62,"Articles of apparel and clothing accessories, not knitted or crocheted",0,12,10,6,11,6,20,0,30,292,0,1,0,1,0,2,18,4
'83,Miscellaneous articles of base metal,2,0,0,0,1,0,5,0,0,1,2,9,0,0,1,1,9,4
'97,"Works of art, collectors' pieces and antiques",1,3,5,3,8,3,14,6,2,4,1,25,0,1,6,14,3,4
'89,"Ships, boats and floating structures",0,8,2,0,2,642,214,4,269,44,0,7,1,0,0,0,37,3
'61,"Articles of apparel and clothing accessories, knitted or crocheted",0,0,6,0,1,21,3,0,5,20,0,1,0,50,1,2,5,3
'57,Carpets and other textile floor coverings,0,0,1,0,0,0,0,0,1,5,0,0,0,1,0,1,2,3
'55,Man-made staple fibres,0,0,0,0,0,7,2,0,0,2,0,38,80,64,0,0,27,3
'14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,2
'30,Pharmaceutical products,16,0,110,113,101,105,456,71,75,113,118,175,5,7,28,646,10,1
'35,Albuminoidal substances; modified starches; glues; enzymes,0,0,0,0,0,2,8,57,0,0,0,0,0,0,2,0,0,1
'50,Silk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
'74,Copper and articles thereof,0,0,0,0,0,0,0,0,2,0,0,10,2,1,0,2,0,1
