code,product_label,kenya_exported_value_2001,kenya_exported_value_2002,kenya_exported_value_2003,kenya_exported_value_2004,kenya_exported_value_2005,kenya_exported_value_2006,kenya_exported_value_2007,kenya_exported_value_2008,kenya_exported_value_2009,kenya_exported_value_2010,kenya_exported_value_2011,kenya_exported_value_2012,kenya_exported_value_2013,kenya_exported_value_2014,kenya_exported_value_2015,kenya_exported_value_2016,kenya_exported_value_2017,kenya_exported_value_2018
'TOTAL,All products,1520119,1400700,2551148,2683309,3419901,3501656,4080800,5000949,4463443,5169112,5758740,6134353,5830954,6111949,5906853,5697562,5746974,6050421
'09,"Coffee, tea, maté and spices",549588,177102,574114,558583,698026,806159,870301,1093212,1104593,1380589,1388108,1484164,1422938,1318668,1473057,1453477,1667459,1617420
'06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",153069,124654,221328,273345,283898,358938,442150,579774,479395,454540,503475,507987,537952,621599,527756,555814,595627,625784
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",2102,430411,489819,616352,629000,256663,176409,200295,188996,218038,254136,258781,221370,615116,612607,425085,353738,386744
'07,Edible vegetables and certain roots and tubers,106488,74933,153336,161102,189831,212975,258223,274355,224844,270487,242264,254460,270852,246109,240718,264685,209156,250115
'08,Edible fruit and nuts; peel of citrus fruit or melons,25918,10772,34385,43360,29280,32385,34208,43947,45799,61280,70429,81690,79777,102374,124598,149898,180738,232544
'62,"Articles of apparel and clothing accessories, not knitted or crocheted",2832,1592,3474,6716,135825,178123,164322,156362,89214,76122,95995,117306,140249,201518,183345,206129,190335,218353
'26,"Ores, slag and ash",2,66,5,19,9,560,386,1028,1386,2656,11209,8142,4058,101789,123901,142201,177325,212551
'24,Tobacco and manufactured tobacco substitutes,39098,37726,48635,39489,69718,112703,127816,137687,136160,135828,212418,202003,161830,194354,162828,144696,134228,139675
'30,Pharmaceutical products,22086,8154,29946,28152,37797,43826,69722,81135,70241,74950,83347,139893,119543,130364,120753,140074,124196,130158
'61,"Articles of apparel and clothing accessories, knitted or crocheted",3587,2307,3485,6236,48619,59154,75002,96781,89807,117033,151181,125482,141328,126418,102975,96242,123242,120966
'39,Plastics and articles thereof,39938,12254,46233,52208,78455,96513,102726,136087,114354,138875,164887,183630,174048,182280,163109,139219,129534,117675
'15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...,19630,19100,44210,46340,51574,62026,91221,110695,109001,150232,195143,190023,129341,105162,79503,109151,95782,115438
'72,Iron and steel,42604,29962,53957,90936,112443,107750,106206,146372,104477,130602,179021,153768,153671,124973,110197,116192,107118,112749
'20,"Preparations of vegetables, fruit, nuts or other parts of plants",65351,60649,73173,85224,86467,82565,109415,133149,88666,120647,119056,112792,152124,134000,131559,118278,110403,108107
'84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",7211,19701,33637,13795,28968,49626,45484,46495,61597,91512,97031,129240,97360,102124,86998,89331,68118,99111
'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",18736,4159,25288,33179,67168,41498,54239,79187,91241,107617,140391,144477,115289,105884,81012,76617,82654,96702
