code,product_label,rwanda_exported_value_2001,rwanda_exported_value_2002,rwanda_exported_value_2003,rwanda_exported_value_2004,rwanda_exported_value_2005,rwanda_exported_value_2006,rwanda_exported_value_2007,rwanda_exported_value_2008,rwanda_exported_value_2009,rwanda_exported_value_2010,rwanda_exported_value_2011,rwanda_exported_value_2012,rwanda_exported_value_2013,rwanda_exported_value_2014,rwanda_exported_value_2015,rwanda_exported_value_2016,rwanda_exported_value_2017,rwanda_exported_value_2018
'TOTAL,All products,186707,54109,51277,99542,149908,143309,183513,398312,260660,241828,401311,506989,608097,653365,548835,555137,948319,1017862
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",0,6,0,39,9,625,170,2172,1067,172,8,0,39,7905,30198,80034,242404,195623
'09,"Coffee, tea, maté and spices",31653,0,25814,52287,60772,74165,62721,179859,109263,92829,129094,157785,113831,118666,86092,77764,151947,174804
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",126341,2530,3429,3886,5017,2633,1034,1199,554,1715,20524,52328,72593,103525,89873,109285,137023,145517
'26,"Ores, slag and ash",20990,16339,11703,31457,59784,46836,83071,134795,66341,97894,164718,135747,222857,202378,118451,86736,123883,143468
'15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...,19,0,33,274,0,17,32,13,117,35,96,2544,7778,12594,20809,26914,28759,41226
'11,Products of the milling industry; malt; starches; inulin; wheat gluten,0,3,4,209,58,42,444,2056,168,646,8865,24628,24142,31297,27954,24730,30393,40992
'10,Cereals,13,0,293,8,44,228,944,239,544,327,359,5790,14995,15144,19552,26236,32019,32658
'07,Edible vegetables and certain roots and tubers,1,0,7,6,253,1127,992,13286,1983,1951,3018,3244,4359,3187,6842,3967,12140,23468
'23,Residues and waste from the food industries; prepared animal fodder,0,0,0,0,0,0,0,155,50,2267,108,226,134,3033,19647,8519,21905,17982
'63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,788,1056,786,866,1438,683,922,1473,3467,2038,3629,1272,6768,2262,3865,6037,16986,16904
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2143,1672,1573,1484,4913,4634,6766,4631,24385,4210,19783,31573,13645,12028,17465,7133,15653,13217
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",211,510,1692,1011,2292,900,1544,2606,8151,1829,2410,1552,4754,16550,8450,5478,6938,11942
'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",1,0,12,86,62,20,899,1511,2166,1337,1068,3238,3777,5439,8333,6921,18884,11157
'72,Iron and steel,144,49,9,62,144,123,449,2704,2378,2248,1792,5274,5304,11980,1913,2613,6970,9570
'41,Raw hides and skins (other than furskins) and leather,783,2337,3260,3438,4770,1961,3572,2967,2035,3766,7556,11855,16083,14138,10385,7431,9235,9089
'84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",573,1248,274,930,5100,1378,4448,2968,4803,4030,2002,2847,7003,23478,7308,6393,2872,8500
'21,Miscellaneous edible preparations,2,76,2,51,30,14,135,41,385,21,19,212,2847,3256,4021,2972,7475,8292
'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",86,23,6,86,54,23,26,128,18,34,1013,2645,3891,2575,2956,2954,5825,8057
'17,Sugars and sugar confectionery,0,12,1,3,3,22,74,5,97,57,37,2467,10349,3459,2278,1512,3736,7558
'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",9,29,17,1,38,125,61,332,206,173,173,467,1610,2398,2924,5214,6978,7526
'01,Live animals,0,0,0,2,0,0,2287,3630,2629,4026,5919,8175,7953,7526,6721,6536,7421,7093
'22,"Beverages, spirits and vinegar",53,35,2,375,303,89,1343,31409,2820,3496,6050,12609,25683,3181,3062,3907,5767,6936
'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",74,0,137,182,406,297,27,6,2,18,156,468,2124,3482,3900,2802,3849,6363
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",8,27,29,35,99,21,50,422,1113,300,546,973,3356,5065,13211,2674,3533,5080
'78,Lead and articles thereof,0,0,0,0,0,0,0,0,0,0,0,42,107,612,1678,2348,4471,5025
'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",3,10,14,39,23,103,47,42,72,1593,55,552,1639,2142,1912,3691,3891,4357
'06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",49,0,22,199,591,359,606,100,0,1,0,1,2,52,1,188,2569,3871
'64,"Footwear, gaiters and the like; parts of such articles",30,57,45,7,13,63,645,1014,1499,1653,1800,6855,1515,1039,1677,3790,3175,3458
'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,0,0,0,57,1,22,119,227,2351,90,555,456,1204,2124,1514,1449,3354
'39,Plastics and articles thereof,52,96,26,35,153,274,603,1444,682,968,1683,2737,4251,2350,1508,1435,2247,3306
'61,"Articles of apparel and clothing accessories, knitted or crocheted",0,0,0,0,15,8,19,20,1,37,16,13,35,212,781,989,1872,3042
