code,product_label,ssudan_exported_value_2001,ssudan_exported_value_2002,ssudan_exported_value_2003,ssudan_exported_value_2004,ssudan_exported_value_2005,ssudan_exported_value_2006,ssudan_exported_value_2007,ssudan_exported_value_2008,ssudan_exported_value_2009,ssudan_exported_value_2010,ssudan_exported_value_2011,ssudan_exported_value_2012,ssudan_exported_value_2013,ssudan_exported_value_2014,ssudan_exported_value_2015,ssudan_exported_value_2016,ssudan_exported_value_2017,ssudan_exported_value_2018,ssudan_exported value in 2019
'TOTAL,All products,,,,,,,,,,,,646464,2475814,4414924,2339143,1479691,1278877,1661773,
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",,,,,,,,,,,,643472,2468314,4393631,2326874,1459767,1270082,1588403,
'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",,,,,,,,,,,,4,221,3545,8216,7847,158,32655,
'52,Cotton,,,,,,,,,,,,,448,,,409,,13804,
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",,,,,,,,,,,,,,,,90,,12434,
'07,Edible vegetables and certain roots and tubers,,,,,,,,,,,,661,,6,314,3353,3,10207,
'02,Meat and edible meat offal,,,,,,,,,,,,,,,,30,,2203,
'13,"Lac; gums, resins and other vegetable saps and extracts",,,,,,,,,,,,34,116,148,239,441,59,616,
'08,Edible fruit and nuts; peel of citrus fruit or melons,,,,,,,,,,,,,6,,19,5,,395,
'44,Wood and articles of wood; wood charcoal,,,,,,,,,,,,17,136,157,394,355,388,139,
'99,Commodities not elsewhere specified,,,,,,,,,,,,16,62,55,236,568,148,135,
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",,,,,,,,,,,,8,127,265,399,138,317,127,
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",,,,,,,,,,,,84,140,110,187,127,156,92,
'84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",,,,,,,,,,,,59,104,1747,510,910,1797,70,
