code,product_label,tanzania_exported_value_2001,tanzania_exported_value_2002,tanzania_exported_value_2003,tanzania_exported_value_2004,tanzania_exported_value_2005,tanzania_exported_value_2006,tanzania_exported_value_2007,tanzania_exported_value_2008,tanzania_exported_value_2009,tanzania_exported_value_2010,tanzania_exported_value_2011,tanzania_exported_value_2012,tanzania_exported_value_2013,tanzania_exported_value_2014,tanzania_exported_value_2015,tanzania_exported_value_2016,tanzania_exported_value_2017,tanzania_exported_value_2018
'TOTAL,All products,768323,901362,1132004,1473113,1671778,1864681,2139347,3121079,2982405,4050546,4734960,5547229,4412549,5704654,5854231,4741925,4178109,3795725
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",254814,311320,491580,576619,585270,647140,616713,833605,859570,1004395,1764316,1911817,1621083,1361293,1459885,1716525,1627272,1599004
'24,Tobacco and manufactured tobacco substitutes,35762,56155,46786,66693,136744,105012,96738,180599,97871,141212,123316,223124,129077,322943,293555,370410,216985,290432
'09,"Coffee, tea, maté and spices",96826,70844,85572,90961,115974,118026,164630,162140,204556,173319,225496,281864,261063,213482,228975,208967,204531,195782
'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",95990,116731,136293,125656,151185,189613,165672,184385,224742,150565,148795,166001,129151,188395,236648,141945,192766,156740
'08,Edible fruit and nuts; peel of citrus fruit or melons,57767,49057,46965,73020,47679,51136,30045,74048,92324,127593,128706,189859,193785,399550,279315,359161,554779,139197
'07,Edible vegetables and certain roots and tubers,18458,20836,30198,25174,39346,25746,58135,78058,64057,100359,74285,133596,105051,249765,398570,186897,171274,118648
'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",13764,15376,20331,26028,25137,30301,47686,63448,87641,77712,103595,157082,170849,360450,166246,165870,89471,104116
'52,Cotton,37144,34054,52554,80673,115920,77004,68207,139467,122107,100436,69813,171259,115981,65283,43237,63857,53744,85486
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",942,732,659,20467,39834,18030,14929,69971,22231,77160,36777,69803,100095,95736,128545,42235,47455,72948
'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",252,198,828,2366,2837,2105,2164,5036,5922,11284,13589,16288,9418,11636,13333,18361,25478,64967
'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",7316,5663,4931,6601,4539,3037,35704,33445,31219,43025,49458,82197,56887,57575,53762,28773,44327,60639
'10,Cereals,4975,27427,20247,44705,35918,40470,47524,20937,5369,32538,29059,81866,40724,146199,31112,23288,27199,55915
'23,Residues and waste from the food industries; prepared animal fodder,3061,3739,4657,5806,7930,10946,8825,27658,25593,19502,25271,75374,47556,114773,293286,202267,39876,55801
'84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",581,488,856,10640,13448,32417,40163,62080,54788,79423,85520,160760,117865,87461,18547,24010,18484,55078
'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",558,227,320,830,3425,8315,12483,26206,23882,70067,35479,31929,46523,37149,39987,41264,42026,49465
'63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,543,3419,7354,19415,17209,25556,59474,65182,61906,84968,81314,78091,71680,91976,69727,65761,96929,49449
'72,Iron and steel,436,1608,5974,12860,14169,14444,10094,54956,12902,23908,38371,32135,33488,24991,76069,9747,22669,40439
'44,Wood and articles of wood; wood charcoal,3023,4419,6945,8326,12736,12606,26665,27988,34691,50129,25154,27703,32583,33798,48548,20532,27531,38866
'31,Fertilisers,216,84,54,7316,2747,10340,25351,49615,34546,99305,51822,64339,29204,11332,12167,34345,29954,38609
'39,Plastics and articles thereof,207,1560,2532,5192,12644,43767,45250,35880,25931,85289,70029,45998,53919,36063,32507,39223,30912,36494
'06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",10920,10870,13702,14319,15759,11422,24638,45491,33329,52583,34851,70886,27996,24331,43594,24658,27086,32719
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",61,104,55,9569,9538,14316,18513,11239,15279,24206,18049,13330,30231,21311,8404,6869,6887,32268
'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",1602,3746,6543,7051,8293,9002,14555,16266,16394,18908,19579,21008,20069,19311,20059,15174,54456,29266
'53,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn,7483,7063,7008,7762,8909,8227,13332,19136,16954,12784,18058,20810,22684,32609,49576,32803,24787,27490
'69,Ceramic products,7,150,204,186,261,254,1919,1292,624,7745,2490,14238,635,9153,25099,7266,9660,26991
'73,Articles of iron or steel,336,520,477,1805,5482,3038,7509,10970,10711,29312,21673,24319,23691,10743,21877,33942,7222,26564
'70,Glass and glassware,5976,7527,7983,5877,9022,6859,4923,7878,8684,7431,23465,53424,31425,33363,54037,201686,21121,23760
