code,product_label,uganda_exported_value_2001,uganda_exported_value_2002,uganda_exported_value_2003,uganda_exported_value_2004,uganda_exported_value_2005,uganda_exported_value_2006,uganda_exported_value_2007,uganda_exported_value_2008,uganda_exported_value_2009,uganda_exported_value_2010,uganda_exported_value_2011,uganda_exported_value_2012,uganda_exported_value_2013,uganda_exported_value_2014,uganda_exported_value_2015,uganda_exported_value_2016,uganda_exported_value_2017,uganda_exported_value_2018
'TOTAL,All products,450527,467380,531600,653542,812810,962193,1336668,1724295,1567614,1618603,2159077,2357493,2407736,2261964,2267009,2482313,2901466,3087274
'09,"Coffee, tea, maté and spices",131059,135025,149997,168021,214052,245746,320111,454794,346692,359716,548005,453752,516626,498666,477738,450615,651655,536033
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",50723,60972,33736,61257,73048,123994,67827,43765,13377,30700,7540,9835,3731,779,35782,339571,418471,516907
'10,Cereals,14546,6694,9350,13136,16367,22322,19919,21738,35088,49617,39258,86495,91792,96838,142102,144252,183059,192024
'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",75429,85805,84606,99634,138365,140590,117681,119012,109165,129121,135546,123496,125847,134792,117597,121467,136204,169907
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",22826,26438,41679,40219,37838,42224,49045,61626,115949,88421,124056,156382,153806,184033,149045,141733,186864,166822
'07,Edible vegetables and certain roots and tubers,3174,4898,7222,10162,10114,11481,14419,22515,19533,14348,23067,20461,32075,39535,79637,72399,110427,125817
'17,Sugars and sugar confectionery,1731,694,619,1831,6884,11760,33609,39611,45230,60169,81892,123270,85861,69180,66284,100485,91711,108237
'24,Tobacco and manufactured tobacco substitutes,32402,45286,43212,40789,32281,27654,67264,69350,62481,68846,55225,69844,120201,66018,72897,64061,52762,86372
'23,Residues and waste from the food industries; prepared animal fodder,171,57,761,951,1584,1112,3014,2969,4372,7623,12144,20098,27262,10043,16118,29334,79719,85360
'72,Iron and steel,2189,2996,7287,13486,24696,22504,40538,65896,56983,54184,78209,83309,94320,93129,86597,70840,65954,85331
'15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...,3302,2814,4666,6775,9989,17088,62850,46121,49519,55181,101111,110427,100062,102471,79066,62091,70212,79467
'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",86,125,763,327,433,306,639,4995,6703,16247,18191,20727,25712,29526,40900,56036,79871,74092
'18,Cocoa and cocoa preparations,1941,3654,7649,6811,9638,10016,16058,23770,28637,35382,44893,38718,55051,59742,57184,75463,54903,65128
'11,Products of the milling industry; malt; starches; inulin; wheat gluten,5075,4765,7863,10903,10173,10391,15819,13991,14440,16983,14014,28095,46372,52109,44859,29632,41034,61088
'06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",16375,18633,24632,30265,34949,32294,35938,42891,48416,46752,52568,52573,56422,57611,51651,51806,57774,60880
'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",554,1025,2668,3269,3873,6610,20620,78969,84252,74877,98207,115318,105894,93786,85196,66442,47177,60558
'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",1649,1415,3192,3481,5523,6337,8218,20993,16284,14017,22667,17277,34724,62277,69421,29994,29075,48052
'52,Cotton,13524,9571,17760,38941,29927,22372,22632,16139,25510,22131,86895,76934,32869,22631,21263,34023,54065,47906
