code,product_label,burundi_imported_value_2001,burundi_imported_value_2002,burundi_imported_value_2003,burundi_imported_value_2004,burundi_imported_value_2005,burundi_imported_value_2006,burundi_imported_value_2007,burundi_imported_value_2008,burundi_imported_value_2009,burundi_imported_value_2010,burundi_imported_value_2011,burundi_imported_value_2012,burundi_imported_value_2013,burundi_imported_value_2014,burundi_imported_value_2015,burundi_imported_value_2016,burundi_imported_value_2017,burundi_imported_value_2018
'TOTAL,All products,138898,128839,144651,172729,258153,433636,422996,315157,344796,404047,1127650,1003121,727593,672579,560585,625328,783299,793512
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",17393,16688,26694,28491,21804,4153,118410,10550,7981,8570,343061,170150,168391,164731,117334,109790,153700,156090
'30,Pharmaceutical products,11808,9960,10696,14977,16135,26619,25407,31952,29475,40213,50042,56508,54363,49208,50491,54440,61889,60488
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",12770,12070,20914,31694,38987,81923,69010,36461,37088,50360,57247,54507,45295,80596,44969,45096,64184,55947
'72,Iron and steel,4798,4831,5220,5888,29355,9401,22424,14340,8540,21901,36467,36776,32029,26675,19153,25596,37069,53418
'84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",9683,9523,8585,12686,24326,19174,19236,44852,32344,30543,67005,62439,46282,45029,49209,35877,28353,46740
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",8748,6583,6268,9359,24335,24735,14687,24778,43273,40586,63311,63747,45539,49488,53788,44804,34705,46354
'10,Cereals,3083,1500,11099,3447,3096,4088,20098,1941,10965,12716,27210,50495,38646,29062,17432,28476,57810,42679
'31,Fertilisers,4803,1570,3249,2409,2500,3689,2233,3608,1120,6101,10285,13831,22333,19938,14371,21733,29415,36200
'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",8866,9912,9159,10520,12864,13330,22011,21716,1435,37024,38828,33347,24219,22860,13623,17870,17415,25197
'17,Sugars and sugar confectionery,1023,820,2229,1658,1437,5363,6171,1332,1306,12994,10934,13824,9178,9495,7328,11637,26076,23495
'39,Plastics and articles thereof,3069,4173,2863,2120,5883,6437,5008,5964,6495,9224,12489,19844,19905,10868,9149,17037,17005,21831
'11,Products of the milling industry; malt; starches; inulin; wheat gluten,6719,8417,3805,4571,5782,9087,11740,15072,14208,13796,20004,49043,14382,12221,10435,13012,18610,18117
'63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,3675,4072,3140,2848,5584,8869,5383,9002,11531,8955,17417,14996,20723,14990,8832,14891,28581,17270
'15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...,1509,1735,1405,1316,1031,2064,3791,4542,3291,3314,14110,14919,12844,11636,8325,13832,10022,13505
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",3916,3065,3026,4473,4483,8359,5872,7686,6178,10690,13785,12123,11503,12567,11245,9234,11919,13409
'40,Rubber and articles thereof,2672,3233,3139,3849,3991,5313,4680,6156,4081,4602,8068,10036,8602,6633,7087,8856,18156,11033
'73,Articles of iron or steel,2370,1737,1734,2490,8042,5185,7138,8439,12751,12057,21467,25578,14024,13064,9965,12334,10051,10095
'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",3848,3483,2580,3566,6916,6095,5098,6055,33424,7502,10569,12320,11183,7030,12537,11509,10677,9629
'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",156,117,258,350,987,2541,3599,3114,7332,4593,5550,6334,8652,5702,2584,9304,8761,9196
'38,Miscellaneous chemical products,2294,1797,1237,3743,4422,2894,2650,2207,3046,2583,6853,7114,5336,3838,4003,5757,11049,8225
'62,"Articles of apparel and clothing accessories, not knitted or crocheted",345,336,211,117,286,1229,346,406,1823,2450,889,7549,5246,1174,7335,5933,6686,6171
'22,"Beverages, spirits and vinegar",260,477,484,1096,1246,59141,1856,2578,2885,3216,4644,7246,5975,4378,4478,3282,4431,5994
'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",1154,2071,1175,1155,1763,1902,1438,2305,2527,2942,4543,4931,4720,3913,3181,4280,5014,5544
'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",1422,1849,972,1077,1790,2025,1812,2620,3913,1931,2959,4203,4181,2639,3421,3941,4234,5507
'21,Miscellaneous edible preparations,2030,1368,1485,1495,2011,7508,3372,3209,2428,1596,67905,2614,4051,4479,7768,9390,7835,5405
'07,Edible vegetables and certain roots and tubers,56,45,727,927,632,365,195,1785,1612,1384,5102,2709,5259,2768,1959,2342,2600,5124
'64,"Footwear, gaiters and the like; parts of such articles",707,216,91,229,491,1254,783,1169,346,2993,4242,2694,4005,1561,882,6539,7346,5072
'52,Cotton,1010,382,100,15,56,284,779,579,1925,500,296,546,680,264,524,670,3183,5006
'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",943,291,281,274,313,548,747,731,1639,744,1348,2231,2295,1364,1473,2352,4934,4626
'70,Glass and glassware,766,1141,1642,1758,2018,4704,3642,4521,5240,3428,10304,10652,9348,5431,5769,6655,4201,4529
'69,Ceramic products,358,646,494,643,1286,1861,1937,2418,2816,3342,5617,5441,3705,1773,1285,4561,5788,4281
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",1007,1078,902,847,6195,17405,3217,7044,2753,5441,10477,8953,6382,8166,3789,4053,6608,4070
'24,Tobacco and manufactured tobacco substitutes,58,21,104,9,1,3268,799,830,94,2042,2331,3165,3988,1742,3472,4136,4120,3435
'42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",182,117,61,46,145,319,168,465,2176,250,414,393,589,1282,5048,3611,3855,3403
'49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",2280,863,707,1496,2365,2428,2122,3160,3861,4657,5145,12425,6183,3567,5488,6738,7567,3343
'61,"Articles of apparel and clothing accessories, knitted or crocheted",244,323,159,362,407,578,2182,268,591,722,3410,2897,2560,2245,3544,3949,2943,3234
'83,Miscellaneous articles of base metal,666,927,788,1195,2583,2402,2850,2324,3547,3156,5231,4106,3328,3071,2812,3600,4341,3120
'02,Meat and edible meat offal,1,0,22,27,27,1373,251,12,574,35,32,23,35,3418,3106,8808,5012,2961
'89,"Ships, boats and floating structures",78,4,6,2,9,706,4,19,24,42,106,109,29,5,7,16,1,2560
'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",676,507,607,649,1129,2189,2182,2301,1748,1846,2449,2811,3581,2241,1720,2367,2340,2483
'96,Miscellaneous manufactured articles,400,314,1182,538,553,2542,773,619,767,921,1666,2326,1436,1332,2680,2811,2913,2292
