Code,Product_label,Imported_value_in_2010,Imported_value_in_2011,Imported_value_in_2012,Imported_value_in_2013,Imported_value_in_2014,Imported_value_in_2015,Imported_value_in_2016,Imported_value_in_2017,Imported_value_in_2018,Imported_value_in_2019
'TOTAL,All products,26579344,34335890,36878401,37469008,39793089,39869871,29876153,33730784,36388739,27211790
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",5927179,9522148,9612748,10374342,9315624,11639540,4580852,5958263,7191426,1959340
'84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",2779062,3474929,3906172,3367443,3987211,3445299,3165806,3581911,3504390,2771786
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2470788,2686924,2974398,3256885,3371698,3220487,2754619,2476751,2800137,2479881
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",2263595,2489082,2732051,2492803,2638853,2810114,2651022,2346125,2465087,2487530
'72,Iron and steel,1113443,1444241,1373256,1643386,1484171,1414352,1195668,1405388,1814855,1459594
'39,Plastics and articles thereof,1117751,1315577,1394817,1485647,1757066,1530363,1395442,1445680,1746323,1443195
'10,Cereals,942884,1418412,1533421,1345446,1447775,1378906,1044733,1787568,1329222,847081
'30,Pharmaceutical products,790846,1097414,1069571,1261777,1559911,1500237,1363562,1375871,1268407,1336823
'15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...,935255,1280240,1268907,1107386,1353446,1062360,1163675,1327954,1183085,284469
'73,Articles of iron or steel,478734,605150,728244,1051655,1008934,952277,820622,639910,861211,874519
'38,Miscellaneous chemical products,417233,451032,493197,534625,608066,605948,591487,697174,819496,545569
'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",552021,648997,638074,589177,621960,571758,581128,626348,771904,496229
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",293322,443081,504321,599925,597427,572533,521228,582296,613324,540820
'17,Sugars and sugar confectionery,424261,446294,625089,556000,434884,464733,532408,982255,548157,365538
'31,Fertilisers,360970,523553,480303,616400,421611,482054,436455,524847,546861,135562
'63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,374405,392518,414756,439118,477207,506374,523159,490997,531393,462344
'40,Rubber and articles thereof,375456,441125,547327,543439,514296,454179,461403,454415,496399,475207
'29,Organic chemicals,249093,257277,303710,287506,309249,279020,274368,326934,400208,281151
'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",385426,431161,505687,484899,522520,462926,366484,302237,388696,91231
