code,product_label,rwanda_imported value in 2001,rwanda_imported value in 2002,rwanda_imported value in 2003,rwanda_imported value in 2004,rwanda_imported value in 2005,rwanda_imported value in 2006,rwanda_imported value in 2007,rwanda_imported value in 2008,rwanda_imported value in 2009,rwanda_imported value in 2010,rwanda_imported value in 2011,rwanda_imported value in 2012,rwanda_imported value in 2013,rwanda_imported value in 2014,rwanda_imported value in 2015,rwanda_imported value in 2016,rwanda_imported value in 2017,rwanda_imported value in 2018
'TOTAL,All products,278684,252817,261654,310142,374278,567132,627851,1070038,1112015,1405159,1508305,1831958,1989145,1954210,2572276,2607072,2947849,2971519
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",39765,40900,40980,46071,8389,16247,19594,42055,92510,68098,134466,134879,124067,84997,476390,463507,496728,552606
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",28872,16394,21914,26498,37687,43849,58935,165838,178391,140626,149067,178067,189202,232062,262314,260564,312081,294182
'84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",11750,21733,20255,24403,37180,44422,60658,112692,91503,132539,111744,186028,204114,179648,219629,227760,226823,255312
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",18550,24880,31412,26740,38857,47111,77505,91348,67785,186883,114474,123591,231795,98438,148739,176252,221099,177421
'10,Cereals,14095,4862,3176,6279,4298,10740,15429,14116,34212,61611,69235,103351,107743,105171,106686,127461,181130,176200
'15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...,9014,7365,6121,13986,13801,18866,22898,32605,38066,46633,66773,77987,70612,80340,92505,96941,108906,116589
'72,Iron and steel,9893,7978,10310,10933,14971,20914,26806,60833,49229,61633,82981,92245,84111,82625,99764,76738,80711,105832
'30,Pharmaceutical products,8834,13637,12771,21005,28666,34535,36459,48072,78661,66113,84689,76949,100621,98126,89308,93287,113699,87745
'39,Plastics and articles thereof,6094,6313,8591,9461,12958,14055,17029,28207,34820,42620,37632,50529,43944,117635,59068,69508,69619,79901
'73,Articles of iron or steel,4294,3518,6249,4760,10898,13324,19346,42952,44066,46793,52296,69737,67073,75197,93482,59755,75800,73787
'17,Sugars and sugar confectionery,8572,5949,5049,4581,6417,12232,17800,19241,23173,45151,48004,65404,57773,61571,74939,68924,114622,71682
'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",6311,4583,6725,7955,12673,17552,28614,55697,45979,62160,76305,98424,101296,99642,105779,77393,55740,68038
'38,Miscellaneous chemical products,2673,2735,1991,1953,3239,3922,5026,11700,12398,14294,18206,18230,21077,23887,28954,39181,47238,60082
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",4615,7072,6457,7583,12506,15528,17792,27392,26298,34938,39726,50529,55051,58235,47104,47916,57427,54168
'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",5551,5884,7202,6984,10395,9755,12857,19330,19190,23086,30093,30963,33048,31574,38815,40805,50801,50135
'31,Fertilisers,2031,4475,2158,1799,3409,4140,9908,28080,30811,23523,23869,41100,42555,26110,34946,22674,39651,44308
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",2092,2668,2667,3792,6273,7032,10693,15900,15143,16225,15491,20045,28338,23607,33045,55702,55401,41532
'63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,7967,11023,10917,11155,10572,120643,21059,26749,25831,57514,29535,48659,47038,34334,63266,66151,37688,34643
'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",1689,2314,2615,4424,5349,7462,8795,14624,15808,18983,21564,32054,26160,25173,30492,30505,33498,34019
'69,Ceramic products,1061,1826,1737,2835,4234,3694,5915,9688,8528,9721,11309,16846,16155,19527,25941,28029,34635,33818
'22,"Beverages, spirits and vinegar",1135,1036,1187,1406,2041,2239,2479,4859,2917,3728,6619,13112,16218,19952,27377,27226,33341,33553
'21,Miscellaneous edible preparations,3212,2079,1231,3097,3937,5147,6376,6541,3202,7381,6826,13938,19665,19093,27278,25459,30146,30947
'64,"Footwear, gaiters and the like; parts of such articles",1466,1232,1188,2060,2943,3503,4697,6700,7043,9278,12831,11802,11829,13520,19291,22081,23899,29539
'11,Products of the milling industry; malt; starches; inulin; wheat gluten,8841,7476,6422,8741,14962,17210,22251,22179,16705,18032,22721,15702,15294,14413,18456,24439,31989,29270
'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",35,18,41,16,17,439,3114,1945,1835,4095,7554,9270,10756,17542,21742,25579,26951,29011
'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1373,2349,2053,2237,3086,3523,5678,8033,11895,15504,19189,13604,11742,12256,15089,19869,24645,27984
'40,Rubber and articles thereof,3960,4545,3938,5256,6183,6925,6062,11350,12155,12556,14432,20827,17683,18292,24699,25244,29470,25656
'07,Edible vegetables and certain roots and tubers,4882,5554,3455,5880,2822,799,2325,2015,1184,5114,8359,8027,11949,9879,16417,24698,19139,23948
'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1155,1245,1026,1272,1678,2066,2344,4455,7552,4544,7150,7831,8364,9421,16359,19428,18320,22539
'70,Glass and glassware,1398,1716,1146,2215,3193,3799,4267,5305,8075,6080,10289,9687,14364,14286,14110,18174,20735,21472
'76,Aluminium and articles thereof,1619,1599,2434,3488,3303,5042,4307,10077,8358,10298,14289,11060,16004,17384,17494,18942,25584,18270
'44,Wood and articles of wood; wood charcoal,1014,1494,1801,2126,2822,2581,3102,7626,7894,9908,10351,15657,18981,16721,19746,20236,15514,14605
'96,Miscellaneous manufactured articles,786,920,1018,876,1088,1396,1857,2742,2493,4154,5221,5557,6133,7383,10422,10901,13744,14529
'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",893,909,1515,1689,1811,2298,2982,5388,4433,5926,9644,9773,9066,12027,14258,13107,12137,14308
'88,"Aircraft, spacecraft, and parts thereof",2,2,256,305,26,531,86,169,91,5659,10988,9263,7520,9902,7370,3091,7490,14122
'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",103,312,191,327,214,349,1129,3297,6140,4456,7802,10717,14368,11511,8324,10697,12399,13463
'55,Man-made staple fibres,1018,808,1113,1216,1568,2102,3529,5264,3576,5322,7221,6857,7726,8791,11771,13042,14878,13245
'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",3593,2900,1258,944,938,760,1998,2145,2155,4868,3512,5836,3012,3132,5007,9244,13451,13032
'83,Miscellaneous articles of base metal,2032,1627,1876,1791,2523,2877,3606,5344,4792,5820,7472,8037,9942,13087,10838,10943,13124,12776
'62,"Articles of apparel and clothing accessories, not knitted or crocheted",816,585,1421,975,1149,1556,3572,3759,2784,4146,4001,6359,7713,12157,22182,15045,11742,12668
'61,"Articles of apparel and clothing accessories, knitted or crocheted",617,798,816,675,1953,1740,3142,4578,3550,4599,6220,5691,3265,4182,5330,12041,8400,11867
'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",1027,1236,1001,1285,2222,2939,3842,6778,5188,9670,10043,11143,8767,11185,11078,14093,12675,11561
'29,Organic chemicals,1143,1318,1198,1160,1241,944,1697,3075,4965,3737,5976,7850,12668,7130,9175,6632,11961,11076
