code,product_label,ssudan_imported value_2001,ssudan_imported value_2002,ssudan_imported value_2003,ssudan_imported value_2004,ssudan_imported value_2005,ssudan_imported value_2006,ssudan_imported value_2007,ssudan_imported value_2008,ssudan_imported value_2009,ssudan_imported value_2010,ssudan_imported value_2011,ssudan_imported value_2012,ssudan_imported value_2013,ssudan_imported value_2014,ssudan_imported value_2015,ssudan_imported value_2016,ssudan_imported value_2017,ssudan_imported value_2018,ssudan_imported value in 2019
'TOTAL,All products,,,,,,,,,,,,347921,635990,778313,848712,563367,570198,467664,
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",,,,,,,,,,,,23758,53840,78588,111320,34400,22352,115362,
'84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",,,,,,,,,,,,38272,54317,44421,56598,24507,22713,35276,
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",,,,,,,,,,,,24666,50992,23699,75031,23916,18257,33252,
'30,Pharmaceutical products,,,,,,,,,,,,15780,34213,19229,30545,20206,14235,28844,
'39,Plastics and articles thereof,,,,,,,,,,,,8671,15659,24543,15041,11500,11966,24614,
'22,"Beverages, spirits and vinegar",,,,,,,,,,,,18772,46012,50570,39285,25659,31165,19150,
'73,Articles of iron or steel,,,,,,,,,,,,9225,26197,26538,32764,21898,11735,17548,
'61,"Articles of apparel and clothing accessories, knitted or crocheted",,,,,,,,,,,,913,779,2646,1275,1289,1064,16994,
'10,Cereals,,,,,,,,,,,,5373,38337,90897,69273,80557,87314,15141,
'49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",,,,,,,,,,,,7155,5419,5958,10106,21680,34102,13359,
'21,Miscellaneous edible preparations,,,,,,,,,,,,2721,4439,8744,12485,15043,14088,12404,
'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",,,,,,,,,,,,3496,6075,10943,10150,9108,10415,9770,
'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",,,,,,,,,,,,23672,32953,28251,33161,15921,11570,8542,
'72,Iron and steel,,,,,,,,,,,,11293,24520,19881,25615,11125,8351,8522,
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",,,,,,,,,,,,5018,7448,51900,24570,21796,15683,7932,
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",,,,,,,,,,,,9171,12244,14085,11247,10690,18187,6644,
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",,,,,,,,,,,,3132,7485,6156,14814,6291,6203,6171,
'40,Rubber and articles thereof,,,,,,,,,,,,3952,5512,5454,7769,4328,4522,5057,
'99,Commodities not elsewhere specified,,,,,,,,,,,,2483,2923,5723,4823,2097,2050,4862,
'17,Sugars and sugar confectionery,,,,,,,,,,,,11612,59764,56536,42081,55078,44153,4818,
'15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...,,,,,,,,,,,,35552,26625,26491,19238,20550,25877,4509,
'62,"Articles of apparel and clothing accessories, not knitted or crocheted",,,,,,,,,,,,4408,4473,3270,1611,2258,814,4352,
'63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,,,,,,,,,,,,18909,17288,30995,13617,16074,6932,4148,
'02,Meat and edible meat offal,,,,,,,,,,,,1009,2588,2787,2787,3336,3519,4107,
'24,Tobacco and manufactured tobacco substitutes,,,,,,,,,,,,14345,5632,5400,3169,7895,13902,3365,
'07,Edible vegetables and certain roots and tubers,,,,,,,,,,,,5348,7224,15027,13979,11590,18604,3297,
'09,"Coffee, tea, maté and spices",,,,,,,,,,,,837,2310,2397,2803,3022,3568,2704,
'38,Miscellaneous chemical products,,,,,,,,,,,,1051,1589,5597,1877,3405,2539,2590,
'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",,,,,,,,,,,,739,375,440,1095,214,731,2314,
'64,"Footwear, gaiters and the like; parts of such articles",,,,,,,,,,,,1715,1218,1837,1393,2236,1212,2278,
'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",,,,,,,,,,,,1871,6281,5138,6877,3622,3915,2277,
'55,Man-made staple fibres,,,,,,,,,,,,616,1210,722,1622,1710,312,2195,
'54,Man-made filaments; strip and the like of man-made textile materials,,,,,,,,,,,,358,327,667,1102,901,117,2110,
'60,Knitted or crocheted fabrics,,,,,,,,,,,,241,61,185,1227,3415,,2084,
'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,,,,,,1738,5223,9450,14159,10320,15870,1829,
'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",,,,,,,,,,,,1069,723,1501,1601,642,1520,1768,
'93,Arms and ammunition; parts and accessories thereof,,,,,,,,,,,,,128,15,4356,,39,1766,
'20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,,,,7057,9305,10039,6523,5158,2801,1692,
'83,Miscellaneous articles of base metal,,,,,,,,,,,,891,1182,1042,981,335,329,1519,
'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",,,,,,,,,,,,1634,1504,3117,2986,1242,1020,1431,
'44,Wood and articles of wood; wood charcoal,,,,,,,,,,,,1298,3139,1666,21040,495,713,1371,
'11,Products of the milling industry; malt; starches; inulin; wheat gluten,,,,,,,,,,,,2080,19771,38665,38390,21531,30834,1327,
'29,Organic chemicals,,,,,,,,,,,,633,1252,670,1036,243,251,1276,
'76,Aluminium and articles thereof,,,,,,,,,,,,1266,1661,4040,1522,1250,1206,1077,
'95,"Toys, games and sports requisites; parts and accessories thereof",,,,,,,,,,,,251,432,786,719,806,832,1068,
'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",,,,,,,,,,,,465,586,3905,3783,2006,3873,1057,
'56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",,,,,,,,,,,,196,416,1750,602,1683,250,1053,
'88,"Aircraft, spacecraft, and parts thereof",,,,,,,,,,,,3591,3040,3626,22463,1835,2387,1033,
'69,Ceramic products,,,,,,,,,,,,545,1302,587,694,877,812,831,
'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",,,,,,,,,,,,977,3681,6885,6088,2947,3542,785,
'23,Residues and waste from the food industries; prepared animal fodder,,,,,,,,,,,,37,42,60,1119,629,811,767,
'52,Cotton,,,,,,,,,,,,333,530,916,1449,2245,224,740,
'96,Miscellaneous manufactured articles,,,,,,,,,,,,231,488,623,1418,747,1076,732,
'42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",,,,,,,,,,,,538,123,267,673,316,1132,721,
