code,product_label,tanzania_imported_value_2001,tanzania_imported_value_2002,tanzania_imported_value_2003,tanzania_imported_value_2004,tanzania_imported_value_2005,tanzania_imported_value_2006,tanzania_imported_value_2007,tanzania_imported_value_2008,tanzania_imported_value_2009,tanzania_imported_value_2010,tanzania_imported_value_2011,tanzania_imported_value_2012,tanzania_imported_value_2013,tanzania_imported_value_2014,tanzania_imported_value_2015,tanzania_imported_value_2016,tanzania_imported_value_2017,tanzania_imported_value_2018
'TOTAL,All products,1728925,1691193,2164320,2556445,3246826,4526728,5919022,8087735,6530823,8012874,11184221,11715589,12525411,12691110,14705969,7876087,7765411,8510629
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",224510,198760,411804,423708,723948,1087172,1770510,2382333,1481076,2212921,3596819,3827651,4858906,3563529,7451164,1434037,1529298,1772509
'84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",214729,258360,292133,359338,422384,532093,559795,935917,911888,887677,1343647,1171535,852414,1308938,949980,936233,959051,1000431
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",176769,205305,225169,234106,323478,464535,518078,763361,777946,904482,1023471,1127142,1128986,1169284,843999,757136,598498,825900
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",196492,116796,131125,154472,216532,411367,540957,600049,468241,473147,711369,743937,623870,745637,963230,616256,565061,507074
'39,Plastics and articles thereof,61829,72556,85272,125222,170608,186367,227170,297167,276631,413456,430818,467238,479913,597659,444089,405777,397926,488592
'72,Iron and steel,44077,48691,63181,90301,142084,174207,214891,359209,253322,317388,394470,426218,499909,384470,297918,265366,271489,425528
'73,Articles of iron or steel,62067,41073,58607,58620,84970,113571,128198,220551,212858,179429,251478,246148,487673,439081,282537,212887,185057,302988
'30,Pharmaceutical products,50014,34539,48494,53128,107608,88543,167019,136743,105464,153080,271088,214847,312532,481371,403125,326751,425233,280343
'38,Miscellaneous chemical products,20638,26006,31965,33958,41351,53012,83783,105891,86804,103306,102661,118291,121955,168442,143545,153370,196285,247519
'15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...,65307,66189,84385,81182,95562,221404,250257,203632,125547,211334,317678,297957,233322,427449,263998,299122,278497,236985
'31,Fertilisers,15682,20678,29210,60577,72569,61598,67049,192749,106555,131104,203544,148892,176280,131821,166622,130076,145570,193895
'40,Rubber and articles thereof,30466,32495,42310,49777,69737,96012,98154,159240,139882,160555,193604,227043,222513,204397,155126,155545,151118,167905
