code,product_label,uganda_imported_2001,uganda_imported_2002,uganda_imported_2003,uganda_imported_2004,uganda_imported_2005,uganda_imported_2006,uganda_imported_2007,uganda_imported_2008,uganda_imported_2009,uganda_imported_2010,uganda_imported_2011,uganda_imported_2012,uganda_imported_2013,uganda_imported_2014,uganda_imported_2015,uganda_imported_2016,uganda_imported_2017,uganda_imported_2018
'TOTAL,All products,1005479,1073753,1375106,1720215,2054137,2557307,3493354,4525859,4247371,4664338,5630875,6044147,5817510,6073528,5528117,4829459,5595904,6729377
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",164137,176088,190076,221115,349887,541833,658438,865995,747569,937782,1318839,1366561,1340564,1444391,1032032,796595,1036348,1318770
'84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",71714,87697,119582,149730,164017,181430,267706,364610,427140,512524,486135,702156,443366,490889,482977,404501,558553,535907
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",90220,107815,116212,153793,206982,224019,298204,348338,384722,430359,509203,533887,530275,543674,530664,420812,458422,508596
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",118168,80690,101910,158464,165233,246099,482966,527230,451076,416936,532470,500806,389686,374131,423399,300764,316387,411522
'39,Plastics and articles thereof,30928,29382,44175,61672,83964,96438,130297,160230,135863,160129,226962,236070,234863,266973,286357,243574,289115,386504
'72,Iron and steel,41612,52307,73426,89369,110602,133857,162820,293412,210351,223414,264141,242011,251911,251053,279557,209653,283565,369384
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",332,222,227,312,229,359,407,658,612,867,1349,760,876,621,657,616,842,335513
'30,Pharmaceutical products,47419,45499,73082,77553,81778,119741,172046,241669,208618,198960,255517,251832,347689,358081,370962,312419,268821,281159
'15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...,23646,36304,56992,63074,68397,82593,116695,209268,131911,189291,247918,250172,227963,268131,210122,230788,275492,248426
'10,Cereals,40075,56087,86490,110255,125873,142628,140133,147189,178640,162966,200990,276999,221868,246672,178461,180008,249275,236357
'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",33257,34258,38455,49603,51030,63319,69967,100919,98919,98623,124283,123617,120363,109028,107834,112009,130834,162383
'38,Miscellaneous chemical products,20967,16997,23128,26796,27916,31095,39581,69115,46617,63090,74893,80166,94561,94453,120757,106203,126260,150267
'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",30737,35662,44108,45727,54342,58844,81414,124974,136860,129037,133452,136708,113398,137804,128358,115604,113794,133182
'63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,30020,33847,37658,39250,42203,49506,61025,62350,59095,98205,70566,83149,130809,131088,111569,147497,121409,121498
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",14174,15954,27817,31658,38907,41490,60816,56824,55367,63020,82224,89000,152328,98526,84496,88176,100004,101876
'17,Sugars and sugar confectionery,24316,16077,14929,23047,28981,42443,71320,71374,75161,90488,136239,160823,146850,110193,102800,81851,122598,97639
'29,Organic chemicals,9120,9500,10061,12120,16751,19355,26807,38317,37804,36459,41797,59177,54630,50967,55320,61821,81896,95806
'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",12044,15139,17156,26328,29111,38676,38691,50494,43076,43380,52699,63500,69720,77775,76709,68404,81803,84744
'40,Rubber and articles thereof,23596,23173,26038,29174,31254,36373,38268,53957,50360,54369,57164,68879,71478,76538,66322,73006,69220,75726
'73,Articles of iron or steel,12902,13866,22046,28522,26964,28478,53554,85544,121662,89689,74587,56092,72811,100000,57111,71437,52176,75235
'64,"Footwear, gaiters and the like; parts of such articles",6393,7353,14057,20070,22399,25934,38243,43849,38659,40765,39079,44183,51165,50524,49835,56221,62753,73992
'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",8017,8125,9095,10638,14171,14998,18596,31901,28623,26663,30042,34460,38602,35175,37271,36578,41760,53721
'88,"Aircraft, spacecraft, and parts thereof",1452,1934,1874,1940,3234,3420,4043,9578,15460,41192,52250,38163,38413,48439,40780,30015,30621,51564
'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",4235,4313,5315,6039,6405,8691,10288,15070,12472,14833,18086,19306,21639,24862,28884,25919,34623,47741
'96,Miscellaneous manufactured articles,6696,3340,5494,4536,4758,4270,6665,9656,8396,8397,8435,18913,28857,37789,35195,37633,41509,46309
'55,Man-made staple fibres,8723,10395,14281,16235,13193,13898,21058,23445,17348,18771,23207,20060,21874,19362,20324,22136,28608,44487
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",9840,11045,13476,17200,14446,19622,34279,25165,28128,34119,35843,33865,38073,46675,38498,40081,37845,41286
'31,Fertilisers,4883,6461,8114,12523,9352,12024,12186,37101,40983,20717,24652,36944,49709,23138,32814,33737,27040,38996
'62,"Articles of apparel and clothing accessories, not knitted or crocheted",8272,7901,9821,14993,16817,19699,24613,31858,25714,23935,25453,24389,22925,23200,21224,22197,27064,35777
'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",5824,5639,7720,11335,15127,17330,15360,24743,20002,25281,34751,36928,38141,44232,36422,28309,28333,35446
'22,"Beverages, spirits and vinegar",1282,1938,3361,11008,10311,16599,28030,51999,60433,52850,62461,75394,70754,70635,67820,58694,39331,35112
'69,Ceramic products,5101,6381,8374,10580,11702,11162,22521,21304,19552,21827,25177,25836,29468,32114,31715,36701,36640,34698
'21,Miscellaneous edible preparations,2827,5148,5632,5503,6163,8180,7892,14469,14756,14147,21323,27524,28102,28598,29204,27144,32914,34311
'76,Aluminium and articles thereof,4224,5509,6734,10704,10392,12104,15657,18337,17877,21525,29783,27629,24938,28723,21275,18488,27755,28396
