Exporters,Imported _value_in_2009,Imported _value_in_2010,Imported _value_in_2011,Imported _value_in_2012,Imported _value_in_2013,Imported _value_in_2014,Imported _value_in_2015,Imported _value_in_2016,Imported _value_in_2017,Imported _value_in_2018
World,10965,12716,27210,50495,38646,29062,17432,28476,57810,42679
Russian Federation,0,0,78,56,2115,13884,3573,2648,11370,18628
"Tanzania, United Republic of",17,782,3077,2920,8941,9080,4191,6228,5076,9953
Pakistan,0,0,0,2759,169,0,0,67,3377,4013
Japan,0,8278,2066,0,184,20,0,0,0,3207
Zambia,0,0,555,4430,705,2,176,64,5326,2532
Uganda,241,1401,13650,3857,388,57,100,2734,3586,1396
Canada,2759,54,9,4600,1209,2984,2053,644,1083,881
Argentina,0,0,0,4216,0,0,0,0,2644,513
Germany,0,0,243,6,0,0,0,1919,2157,460
Kenya,0,0,0,0,661,645,80,164,14,334
India,0,0,0,353,498,0,1951,1459,5068,235
Italy,6587,2,134,409,1789,83,46,495,3,204
United States of America,0,1794,3648,2216,2382,25,3,59,16,136
Rwanda,2,247,143,20081,977,107,869,884,660,80
France,0,0,13,2109,0,0,0,0,0,62
Indonesia,0,0,0,0,0,0,0,0,0,20
United Arab Emirates,5,3,4,70,237,2,1079,465,14,15
Belgium,6,1,2,4,1,0,1,2,7,4
South Africa,53,0,0,1,0,1,0,1,874,3
China,0,154,0,27,4716,0,0,0,15383,1
Viet Nam,0,0,0,26,0,0,0,0,0,1
"Congo, Democratic Republic of the",0,0,1,6,2,2,1,0,1,0
Australia,0,0,0,0,3700,1190,868,0,0,0
Brazil,0,0,2757,0,0,0,0,0,0,0
Brunei Darussalam,0,0,22,0,0,0,0,0,0,0
Georgia,0,0,140,0,0,0,0,0,0,0
Ireland,0,0,11,8,0,0,0,0,0,0
Malaysia,0,0,0,0,0,0,0,0,9,0
Poland,0,0,0,0,0,0,0,1502,0,0
Saudi Arabia,17,0,51,0,0,0,0,0,0,0
Zimbabwe,182,0,0,0,0,0,0,0,0,0
Switzerland,0,0,9,0,0,0,0,0,253,0
Thailand,73,0,0,0,3,0,0,0,203,0
Ukraine,0,0,339,2193,7354,976,1668,141,17,0
Egypt,0,0,14,145,0,0,0,0,0,0
United Kingdom,1021,0,0,0,2614,4,775,8999,669,0
Uruguay,0,0,245,0,0,0,0,0,0,0
