Exporters,Imported_value_in_2009,Imported_value_in_2010,Imported_value_in_2011,Imported_value_in_2012,Imported_value_in_2013,Imported_value_in_2014,Imported_value_in_2015,Imported_value_in_2016,Imported_value_in_2017,Imported_value_in_2018
World,749231,396749,636862,631453,577097,719484,647333,494603,1111188,843242
Russian Federation,33337,56197,156576,91328,118713,147526,153566,76731,135287,174969
Pakistan,71912,80504,157359,111709,136895,143712,123072,115692,153829,135291
Argentina,20028,190,24454,117304,1087,28,8388,2690,81239,89712
Uganda,6049,18907,17184,36120,8429,27645,43141,20044,57909,81009
Thailand,3285,1169,4063,4133,4090,19175,8197,16716,65388,76898
Ukraine,113457,98838,14606,68333,122342,81014,21903,20429,64874,54579
Canada,1,11126,8552,15349,18138,34890,27065,26029,39089,37140
Zambia,3918,5990,32084,14662,5747,11176,6483,7587,35364,29611
India,45500,1434,20433,24868,14760,3082,29632,10469,7627,29119
United States of America,96816,26523,12042,17016,19917,32324,23679,38130,47208,22234
China,83,4,5530,7526,43,364,85,215,27807,18456
"Tanzania, United Republic of",3825,8767,28716,44353,8718,81525,47155,13723,8739,17221
Australia,10026,3799,75,5466,64234,50299,10518,62,20234,13869
Germany,2858,9794,2,5534,4826,29510,51765,38847,24575,12639
Romania,0,0,0,0,0,0,0,0,0,8623
Latvia,0,2014,0,0,0,5877,8363,17482,11569,6761
Lithuania,0,3452,0,0,0,3370,24901,34387,1101,6728
Sudan,0,0,0,0,5114,0,4304,4610,18351,6546
"Korea, Republic of",0,3,3,9,9,5,3,0,0,6108
Poland,9452,0,0,0,2087,11659,48265,26163,29216,5313
Czech Republic,0,0,0,0,0,0,0,10044,4788,5052
South Africa,306116,44668,2244,786,1248,1641,2488,1472,74162,1651
Ethiopia,4,56,21,297,273,172,109,412,13244,1272
Mozambique,0,0,573,0,10,0,0,0,1399,944
Zimbabwe,0,36,550,113,76,594,16,361,183,554
Japan,892,0,0,1,2306,2,3,1,1018,471
Egypt,0,2665,0,0,689,0,0,0,0,182
"Hong Kong, China",1,0,0,0,0,0,0,0,0,103
Cambodia,0,0,0,28,214,5,28,45,68,57
United Kingdom,3334,14,2,6319,21,8,16,4525,38,40
Italy,446,29,55,31,2498,16,30,32,22,30
Viet Nam,12472,8303,17466,16978,13363,761,1934,337,858,20
Netherlands,4,5,6,4,3,28,4,9,30,17
United Arab Emirates,540,83,27,180,762,480,84,505,859,10
Belgium,0,0,0,0,0,0,0,0,0,7
France,0,0,2,0,0,0,0,0,15,2
Mexico,0,1,1,0,0,3,5,4,184706,2
Somalia,0,3,0,15,0,0,0,2,0,1
South Sudan,0,0,0,0,0,13549,0,0,0,0
Afghanistan,0,0,0,0,0,65,144,0,0,0
Algeria,0,0,715,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,913,0,0,0,0,0,0
Brazil,3849,594,38659,19433,93,82,154,0,0,0
Bulgaria,0,485,0,0,0,0,0,0,0,0
Myanmar,998,0,950,0,0,430,0,0,330,0
Sri Lanka,0,0,109,3911,798,377,0,0,0,0
Chile,0,0,0,0,0,0,1,0,0,0
Cyprus,2,0,0,0,0,0,0,0,0,0
Estonia,0,6462,0,0,0,17326,1651,6746,0,0
Djibouti,0,0,0,75,0,0,0,0,0,0
Guyana,0,0,0,0,0,713,0,0,0,0
Indonesia,22,0,0,0,0,0,108,0,0,0
Ireland,0,6,0,88,0,0,0,0,0,0
Israel,0,0,0,0,0,0,0,0,0,0
Kuwait,4,0,0,0,0,0,0,0,0,0
Malawi,0,25,55284,0,7328,0,0,0,0,0
Malaysia,0,0,0,27,24,49,74,101,10,0
"Taipei, Chinese",0,0,167,0,0,0,0,0,0,0
Oman,0,0,22,3,0,0,0,0,50,0
Nigeria,0,0,0,7,0,0,0,0,0,0
Paraguay,0,2810,18700,18419,9557,0,0,0,0,0
Sao Tome and Principe,0,1,0,0,0,0,0,0,0,0
Saudi Arabia,1,0,0,1,1,1,0,0,0,0
Sierra Leone,0,0,0,99,0,0,0,0,0,0
Singapore,0,3,0,0,0,0,1,0,0,0
Spain,0,0,0,15,0,0,0,0,0,0
Sudan (before 2012),0,0,8001,0,0,0,0,0,0,0
Suriname,0,0,0,0,96,0,0,0,0,0
Sweden,0,0,0,0,374,0,0,0,0,0
Turkey,0,0,13,0,0,0,0,0,0,0
Uruguay,0,1792,11601,0,2213,0,0,0,0,0
"Venezuela, Bolivarian Republic of",0,0,16,0,0,0,0,0,0,0
