Exporters,Imported_value_in_2009,Imported_value_in_2010,Imported_value_in_2011,Imported_value_in_2012,Imported_value_in_2013,Imported_value_in_2014,Imported_value_in_2015,Imported_value_in_2016,Imported_value_in_2017,Imported_value_in_2018
World,34212,61611,69235,103351,107743,105171,106686,127461,181130,176200
Russian Federation,1728,6685,5756,27678,16057,36755,20859,20227,38348,52398
Pakistan,4349,6588,10871,14443,24928,19687,43844,51951,54438,41863
Uganda,7954,18052,8685,14798,11224,17922,17084,17296,20686,32265
"Tanzania, United Republic of",5337,12974,15120,4370,5598,5985,2908,7176,8015,15936
Thailand,228,154,192,591,177,853,4025,11670,23144,13956
Canada,0,3063,0,6206,3398,11272,6792,4326,4500,4380
Zambia,0,0,83,2795,3276,2076,720,1555,7547,3109
Kenya,2588,2711,320,234,2772,3105,1418,2061,4548,2828
South Africa,322,307,33,0,0,425,1,0,105,2446
Argentina,3524,0,5154,10925,2593,0,0,0,4619,2390
Germany,0,2597,993,6,2949,1150,1,3354,6537,1373
India,125,162,82,5800,2130,955,1029,362,1094,1350
Japan,0,332,0,0,0,0,0,0,0,787
Poland,868,0,0,0,0,1918,2011,2400,1314,571
United Arab Emirates,196,16,30,70,413,215,336,602,774,260
"Congo, Democratic Republic of the",751,718,1278,1503,455,364,529,86,200,127
United States of America,944,445,10302,1489,15,16,2,603,2737,95
Uruguay,0,0,1294,0,0,0,0,0,0,23
France,0,0,0,0,0,0,1,3,12,22
China,11,3,2,14,25,21,19,4,6,11
Belgium,3,0,2,1,0,1,4,3,4,6
Burundi,88,127,158,423,117,213,82,151,4,2
Cuba,0,0,0,0,0,0,0,0,0,1
Italy,268,349,20,3,1280,96,6,1,61,1
British Virgin Islands,0,0,0,254,0,0,0,0,0,0
"Korea, Democratic People's Republic of",0,0,0,0,0,0,0,12,0,0
Australia,2255,33,5770,6433,18652,879,2662,0,7,0
Austria,0,0,0,69,0,0,0,0,0,0
Brazil,0,6,405,0,3042,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,11,37,0,0
Myanmar,0,0,0,0,0,0,0,12,0,0
Estonia,0,0,0,0,0,0,0,661,0,0
Ghana,0,0,0,0,0,1,0,0,0,0
"Korea, Republic of",0,0,0,0,0,1,0,0,0,0
Latvia,0,0,0,0,0,1142,585,1478,556,0
Lithuania,0,0,0,0,2202,0,800,1169,1641,0
Mauritius,0,0,0,19,0,0,0,157,0,0
Netherlands,12,0,0,0,0,0,0,0,0,0
Panama,0,0,1,33,0,13,0,0,0,0
Paraguay,0,103,2683,1779,1405,0,0,0,0,0
Singapore,0,0,0,0,0,0,16,0,0,0
Viet Nam,1905,210,0,437,288,58,0,0,0,0
Zimbabwe,0,0,0,0,0,0,0,101,0,0
Switzerland,1,0,0,0,0,0,0,0,0,0
Tunisia,0,0,1,0,0,0,0,0,0,0
Turkey,0,0,0,0,0,0,0,0,184,0
Ukraine,753,5976,0,2827,4746,0,14,0,0,0
Egypt,0,0,0,0,0,48,0,0,52,0
United Kingdom,2,0,0,150,0,0,928,0,0,0
