Exporters,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018
Total,0,0,0,5373,38337,90897,69273,80557,87314,15141
China,0,0,0,0,0,3054,0,1309,7908,742
Australia,0,0,0,0,0,0,46,0,0,0
Canada,0,0,0,0,0,7,10,0,0,0
Netherlands,0,0,0,0,0,0,0,1,0,2
United States of America,0,0,0,868,1622,30763,959,0,0,0
Sudan,,,,24,,,0,,1350,
United Arab Emirates,,,,0,0,0,0,0,0,12
Argentina,0,0,0,0,0,30,21,30,0,0
Kenya,0,0,0,2412,1620,6214,13697,8400,7554,13397
Pakistan,0,0,0,1350,3196,2310,5394,2831,0,988
Uganda,0,0,0,719,31890,46212,49045,67986,70502,0
"Tanzania, United Republic of",0,0,0,0,9,2307,101,0,0,0
