Exporters,Imported_value_in_2009,Imported_value_in_2010,Imported_value_in_2011,Imported_value_in_2012,Imported_value_in_2013,Imported_value_in_2014,Imported_value_in_2015,Imported_value_in_2016,Imported_value_in_2017,Imported_value_in_2018
World,29475,40213,50042,56508,54363,49208,50491,54440,61889,60488
India,9908,12572,10499,14449,15986,16483,11345,12011,23858,20678
Denmark,1602,4997,7818,6343,4527,2675,9975,6525,7657,9745
France,2797,5916,8009,2473,3208,1215,2518,11116,8677,8928
Belgium,6870,9290,16243,22004,15430,15124,8953,6717,6021,7523
China,1399,1233,1259,2604,2982,4447,4407,7053,3516,3759
Kenya,4698,1696,1355,1291,3585,1431,1034,1548,1971,2091
Netherlands,539,529,1155,970,1648,1152,1314,1134,1049,1560
"Korea, Republic of",0,0,0,0,0,0,1119,891,2365,1175
Uganda,0,793,625,1050,1685,1214,1315,1607,2810,1154
Germany,61,256,432,528,394,252,424,313,666,841
Mexico,0,0,0,0,0,244,0,0,352,478
Jordan,4,4,0,13,3,6,0,6,0,356
Switzerland,479,409,283,407,190,87,276,117,173,292
United States of America,0,405,376,1495,2161,2589,2710,1360,588,291
Pakistan,0,76,33,31,107,97,158,348,365,275
United Arab Emirates,4,82,17,7,7,20,1,452,30,200
Japan,34,34,438,306,992,796,1001,233,0,175
"Tanzania, United Republic of",0,539,259,23,101,45,26,9,194,139
United Kingdom,70,153,134,145,220,104,1659,1385,292,116
South Africa,0,13,7,687,160,12,557,61,13,103
Egypt,0,30,0,0,5,0,26,14,66,101
Morocco,0,0,0,557,68,96,28,44,133,71
Saudi Arabia,0,0,0,0,0,82,73,55,116,71
Bangladesh,0,0,0,0,0,0,26,16,80,68
Thailand,0,21,33,0,0,0,48,0,27,56
Grenada,0,0,0,0,0,0,0,0,0,55
Nepal,0,0,0,0,0,0,0,0,0,36
Mali,0,0,0,0,0,0,0,0,10,30
Italy,206,10,22,6,41,4,21,24,5,21
Senegal,0,1,0,0,0,14,0,0,0,21
"Congo, Democratic Republic of the",554,516,664,539,449,168,35,115,129,19
Malaysia,0,169,0,4,163,156,831,370,240,16
Tunisia,0,0,0,0,0,0,0,12,52,14
Russian Federation,0,0,0,0,0,0,0,0,0,12
Ethiopia,4,0,73,42,8,0,19,0,0,6
Rwanda,0,47,44,14,71,53,51,103,5,6
Spain,21,7,24,9,18,20,0,21,60,6
Canada,0,8,100,43,41,30,46,0,67,1
Turkey,0,73,0,23,0,0,0,0,11,1
"Korea, Democratic People's Republic of",0,0,0,9,10,113,0,0,0,0
Saint Helena,0,0,0,0,0,0,0,0,3,0
Australia,0,0,1,2,0,0,2,0,0,0
Austria,0,0,0,0,0,0,2,0,0,0
Bahamas,0,0,0,0,0,0,0,0,13,0
Bosnia and Herzegovina,0,0,0,0,3,0,11,21,0,0
Brazil,23,0,16,0,0,33,0,0,0,0
Bulgaria,0,0,0,10,14,0,0,0,0,0
Cyprus,0,15,0,0,42,23,422,17,0,0
Czech Republic,0,0,0,0,1,0,0,0,0,0
Ecuador,0,0,0,0,0,0,0,8,0,0
Eritrea,0,0,17,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,120,0
Finland,0,0,0,357,0,0,0,15,1,0
Gabon,0,0,0,0,3,0,0,0,0,0
Ghana,0,0,0,5,3,105,0,3,21,0
Greece,0,8,6,0,0,0,0,0,0,0
Honduras,0,0,9,0,0,0,0,0,0,0
"Hong Kong, China",78,0,0,0,0,11,1,2,0,0
Hungary,0,0,0,0,0,15,0,0,0,0
Indonesia,0,305,53,0,36,45,42,695,16,0
Ireland,0,0,0,9,0,0,0,0,0,0
Israel,0,0,0,0,0,172,0,0,0,0
Lebanon,0,0,0,0,1,0,0,0,0,0
Liberia,0,0,5,0,0,0,0,0,0,0
Luxembourg,0,0,0,13,0,0,0,0,2,0
Mauritania,0,0,16,0,0,0,0,0,0,0
New Caledonia,0,0,0,0,0,25,0,0,0,0
New Zealand,0,0,0,0,0,0,0,10,0,0
Nicaragua,0,0,0,0,0,0,0,0,6,0
Niger,0,0,12,2,4,0,0,0,0,0
Norway,0,0,0,6,0,0,0,0,0,0
Panama,0,0,0,0,0,6,0,0,6,0
Philippines,0,0,0,0,0,0,0,1,8,0
Eswatini,0,0,0,20,0,38,0,0,98,0
Sweden,0,0,6,10,0,3,2,1,0,0
Turks and Caicos Islands,0,2,0,0,0,0,13,0,0,0
Ukraine,0,0,0,0,0,2,0,0,0,0
Burkina Faso,0,3,0,0,0,0,0,9,0,0
Zambia,124,0,0,0,0,0,0,0,0,0
