Exporters,Imported_value_in_2009,Imported_value_in_2010,Imported_value_in_2011,Imported_value_in_2012,Imported_value_in_2013,Imported_value_in_2014,Imported_value_in_2015,Imported_value_in_2016,Imported_value_in_2017,Imported_value_in_2018
World,283056,332480,431689,469079,446786,572237,604497,574929,518284,558597
India,95293,148932,179733,231002,187825,269198,317025,309071,234185,257988
Belgium,9702,14234,11007,29019,44855,41631,39743,32722,33911,38923
China,11356,11963,13507,17917,24987,24326,20735,24847,18812,32137
United States of America,16618,17580,37521,23020,29172,21884,26093,12440,20427,30619
United Kingdom,15544,21144,18069,18213,22638,26714,29745,30487,32914,29734
France,11791,10898,16175,14012,20474,20280,20028,23538,23851,26736
Germany,9187,13779,18597,11762,13307,40556,20906,17773,31821,22943
Switzerland,20491,16036,16879,23664,17909,21609,14294,19648,27926,11786
Netherlands,6421,2966,7472,8159,9493,14784,9970,11628,3530,11777
South Africa,24416,14817,13802,12817,13496,16044,16053,14304,12403,10441
Sweden,3348,2109,3574,2350,3710,5626,9982,7775,6340,10077
Denmark,16653,18096,32823,17245,8485,11303,8906,7881,5389,10041
Italy,7851,5043,7771,5586,7072,8675,11332,12600,9801,9757
Pakistan,2831,3816,3746,4429,4890,7238,7349,7378,9660,9348
Bangladesh,1184,1765,1805,2184,2644,3454,3854,4755,5208,6387
Ireland,3941,6313,17874,21767,12328,11408,6775,6221,4337,5933
Turkey,148,421,737,1411,1039,1915,4131,7602,3098,4294
Spain,1204,1320,2296,2128,2956,2735,6390,3624,4213,3327
Finland,3557,1664,7862,1131,1272,517,2174,2043,288,2939
Egypt,2603,2722,3628,2758,3563,5063,4417,2826,3073,2499
Uganda,312,127,302,534,592,725,1462,734,2343,2402
Oman,0,9,39,44,43,41,42,181,790,1833
"Korea, Republic of",2149,2332,1392,1939,1947,1979,2996,1280,2839,1702
Greece,644,715,780,779,459,690,378,1029,832,1669
United Arab Emirates,1019,690,1624,2599,572,781,1022,1465,735,1376
Canada,2562,1574,2157,2900,2293,2603,8462,2241,8747,1374
Mexico,55,220,262,1523,1095,673,991,714,1169,1257
Thailand,487,1007,1112,918,1255,1728,980,1141,1156,1083
Hungary,987,806,963,743,1270,984,1429,1368,1134,967
Slovenia,127,43,4,0,0,357,0,77,561,703
Jordan,238,326,354,423,383,296,323,454,213,624
Cyprus,846,615,544,571,480,1031,456,554,360,583
Mauritius,7,0,71,0,0,15,1,39,46,496
Indonesia,1896,42,428,364,128,434,251,145,361,485
Poland,0,18,75,64,377,618,742,602,683,475
Portugal,946,571,201,698,200,599,475,294,320,468
Japan,1737,1938,2166,789,21,138,95,320,722,391
Australia,1479,1999,1247,408,310,418,252,290,301,369
Israel,1489,620,411,211,187,208,522,316,261,324
Austria,0,13,41,63,365,267,1072,302,700,269
Czech Republic,2,0,17,251,0,40,29,4,33,252
Morocco,161,314,370,349,477,413,183,210,757,239
"Tanzania, United Republic of",49,736,71,103,83,68,52,50,475,221
Botswana,7,0,0,0,0,0,35,108,234,216
Malaysia,81,452,219,794,243,205,117,218,149,135
"Taipei, Chinese",0,0,74,29,117,146,51,36,52,125
Senegal,27,32,1,0,0,0,0,0,0,96
Saudi Arabia,383,0,0,36,0,67,58,351,184,95
Singapore,238,227,241,533,679,455,256,258,87,88
Lebanon,0,0,0,0,0,0,0,0,0,78
Estonia,0,0,0,0,0,0,0,0,0,67
Ukraine,0,0,0,0,0,2,0,0,19,66
Argentina,119,174,237,397,290,100,163,120,68,56
New Zealand,40,24,44,16,17,33,49,59,40,51
Uruguay,37,58,43,103,90,53,97,49,45,49
United States Minor Outlying Islands,0,11,0,0,0,17,0,0,7,42
Bulgaria,0,97,0,3,0,0,0,7,29,36
Romania,0,0,23,0,16,63,130,0,0,26
Brazil,8,35,1,3,41,110,638,35,32,23
Norway,0,0,1,42,5,19,31,23,20,23
Nepal,0,0,0,0,0,0,0,0,0,17
Viet Nam,0,1,8,34,49,0,2,0,0,16
"Congo, Democratic Republic of the",63,7,0,0,1,0,0,0,0,13
Cuba,0,0,0,0,0,0,0,0,0,9
Iceland,0,0,0,0,0,0,105,0,64,9
Malawi,1,0,0,0,0,76,0,0,4,9
Chile,0,0,0,0,2,0,27,0,0,1
