Exporters,Imported_value_in_2009,Imported_value_in_2010,Imported_value_in_2011,Imported_value_in_2012,Imported_value_in_2013,Imported_value_in_2014,Imported_value_in_2015,Imported_value_in_2016,Imported_value_in_2017,Imported_value_in_2018
World,78661,66113,84689,76949,100621,98126,89308,93287,113699,87745
India,11549,18693,21110,24847,27572,39810,39418,44382,50743,35269
Belgium,8035,9629,12789,9106,11796,13306,11494,8450,13267,13648
Kenya,3099,3132,3324,8668,4414,6247,5370,6990,9679,7444
France,2206,2740,2298,2413,2801,3607,4273,5456,4835,4785
United States of America,4018,4395,15364,2851,1830,3727,9731,3688,3246,4351
Uganda,1241,1468,696,1743,2041,1748,1038,1786,1995,3842
China,727,2046,1465,4112,2436,2213,2518,2972,3982,3450
Switzerland,1027,803,447,1812,2607,1289,2343,2204,1309,2377
Germany,1283,1036,478,533,1836,1006,1243,1596,2358,2126
Netherlands,2491,898,14418,1377,25241,2203,1832,2031,3147,2021
United Kingdom,807,413,783,1061,672,480,1346,1126,1345,1506
Eswatini,22,172,638,644,1050,1716,1745,1766,1934,1502
"Korea, Republic of",9,61,46,2,4,1,14,2497,210,1206
South Africa,765,858,498,1398,581,784,577,746,2099,528
United Arab Emirates,167,0,0,0,52,166,197,180,223,487
Ireland,18,0,46,73,101,10,104,1072,5195,453
Slovenia,0,0,4,0,0,0,0,0,11,416
Mexico,1,44,52,0,0,58,1,120,639,297
Denmark,34491,15893,7160,12368,12585,17295,1601,4002,3760,277
Italy,185,88,170,157,195,149,66,144,143,243
Spain,18,16,76,102,28,274,68,60,205,193
Austria,0,1,1,0,0,0,143,33,24,192
Bosnia and Herzegovina,0,0,0,0,0,1,0,0,0,155
Pakistan,250,764,1397,565,1631,99,215,171,67,137
Sweden,222,1,4,1,8,2,13,0,360,114
Ghana,218,525,6,192,278,38,6,0,0,88
Thailand,85,0,0,15,13,0,135,109,133,79
Singapore,0,0,0,0,0,0,43,0,85,72
Cyprus,27,9,70,18,49,66,48,124,149,71
Latvia,0,0,0,0,0,0,0,0,0,64
Egypt,0,8,4,0,43,0,0,0,5,60
Russian Federation,0,0,0,0,0,0,0,4,18,54
Indonesia,0,0,50,39,74,0,61,176,552,49
British Virgin Islands,0,0,0,0,0,0,0,0,0,42
Malawi,0,0,0,0,0,0,0,0,5,23
Uruguay,75,27,42,5,25,0,0,0,0,23
Saudi Arabia,0,2,0,11,0,376,0,0,0,17
Azerbaijan,0,0,0,0,0,0,0,0,0,13
Turkey,0,16,0,0,0,0,123,422,824,13
Morocco,0,0,0,26,43,0,2,0,0,11
Ecuador,0,0,0,0,0,0,0,3,0,10
Brazil,0,0,0,0,13,0,1,4,0,7
Falkland Islands (Malvinas),0,0,0,0,0,0,0,0,0,5
Canada,1692,10,17,56,64,372,110,439,120,4
Czech Republic,0,0,0,0,0,0,3,0,0,4
Hungary,0,0,0,0,2,14,7,0,0,4
Jordan,41,149,39,153,0,0,284,174,216,3
Portugal,0,1,0,1,0,0,0,0,1,3
"Hong Kong, China",0,0,0,0,5,96,15,10,37,2
Jamaica,0,0,0,0,0,0,0,0,0,1
Lithuania,0,0,0,0,0,0,0,0,0,1
"Congo, Democratic Republic of the",81,9,0,0,0,14,2,1,0,0
"Korea, Democratic People's Republic of",0,0,0,0,0,0,197,0,0,0
Curaçao,0,0,13,83,1,0,0,0,0,0
Tokelau,0,0,0,0,0,0,0,4,0,0
United States Minor Outlying Islands,0,0,0,0,0,0,0,17,0,0
Andorra,0,4,0,0,0,0,0,0,0,0
Australia,0,2,1,23,0,22,95,22,8,0
Bangladesh,0,0,1,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,2,0,0,0
Burundi,38,2,4,53,1,1,0,0,0,0
Costa Rica,0,0,0,0,0,0,1,0,0,0
Dominican Republic,0,0,0,0,0,1,0,0,1,0
Ethiopia,0,0,72,0,0,0,0,0,0,0
Eritrea,0,33,0,0,0,0,0,0,0,0
Finland,1273,1489,0,372,235,110,1248,0,501,0
Georgia,0,0,0,3,2,5,0,0,31,0
Greece,0,0,0,25,4,32,0,0,47,0
Iceland,0,0,0,0,0,0,0,0,40,0
Israel,334,0,2,1231,0,6,826,0,0,0
Côte d'Ivoire,0,1,0,0,0,0,0,6,9,0
Japan,110,1,491,14,0,9,79,0,0,0
Luxembourg,0,0,0,3,6,0,36,197,4,0
Malaysia,227,253,59,449,1,264,431,0,58,0
Mauritius,0,1,0,45,115,201,82,93,1,0
"Taipei, Chinese",0,0,13,0,0,0,0,0,0,0
Namibia,0,0,0,12,0,0,0,0,0,0
Nepal,2,0,0,0,0,0,3,0,0,0
Netherlands Antilles,27,8,0,0,0,0,0,0,0,0
New Zealand,0,0,0,0,32,0,0,0,0,0
Nicaragua,0,0,0,0,36,0,0,0,0,0
Norway,0,0,0,0,0,29,0,0,0,0
Poland,0,0,0,0,0,2,4,0,0,0
Qatar,0,0,0,0,1,0,0,0,20,0
Romania,0,0,0,0,0,10,0,0,0,0
Senegal,41,27,82,86,73,218,103,2,0,0
Seychelles,0,0,0,0,6,0,0,0,0,0
Slovakia,0,0,0,22,0,0,11,0,38,0
Viet Nam,0,0,0,26,0,0,0,0,4,0
Togo,0,0,0,0,0,6,0,0,0,0
Tunisia,0,0,6,0,0,3,1,6,13,0
Ukraine,13,0,0,0,0,32,0,0,0,0
"Tanzania, United Republic of",1745,384,453,155,19,5,1,1,0,0
