Exporters,Imported_value_in _2009,Imported_value_in _2010,Imported_value_in _2011,Imported_value_in _2012,Imported_value_in _2013,Imported_value_in _2014,Imported_value_in _2015,Imported_value_in _2016,Imported_value_in _2017,Imported_value_in _2018
Total,0,0,0,15780,34213,19229,30545,20206,14235,28844
Pakistan,0,0,0,4110,8307,7768,7502,10110,0,4244
Kenya,0,0,0,9793,7356,5884,6568,3614,5534,4202
Switzerland,0,0,0,0,0,18,246,135,26,10303
Netherlands,0,0,0,0,205,255,2598,582,3135,2825
China,0,0,0,1479,916,1434,1331,704,2142,3377
Sweden,0,0,0,0,0,0,8654,0,0,0
Uganda,0,0,0,279,1224,778,1520,2037,898,0
Belgium,0,0,0,0,1217,538,244,769,754,420
Jordan,0,0,0,0,0,318,139,396,243,1484
Denmark,0,0,0,0,0,1079,1020,0,10,5
Germany,0,0,0,0,206,120,204,170,572,325
United Kingdom,0,0,0,0,48,0,27,84,618,485
Singapore,0,0,0,0,0,891,0,0,0,0
India,0,0,0,0,0,0,0,863,0,0
United Arab Emirates,,,,0,0,0,0,0,0,842
Japan,0,0,0,26,54,96,88,553,0,0
Botswana,0,0,0,0,0,0,0,0,0,277
Cyprus,0,0,0,0,0,0,153,63,41,0
Canada,0,0,0,0,0,24,198,0,0,0
Saudi Arabia,0,0,0,0,0,0,0,49,0,35
Thailand,0,0,0,0,0,0,1,23,57,0
Austria,0,0,0,0,0,1,11,28,4,20
Ireland,0,0,0,0,0,0,0,0,54,0
Russian Federation,0,0,0,0,0,0,0,0,52,0
Malta,0,0,0,0,0,0,0,0,38,0
Spain,0,0,0,0,0,20,0,0,18,0
Italy,0,0,0,0,10,0,0,15,15,0
Algeria,0,0,0,0,0,0,21,0,0,
United States of America,0,0,0,93,26,4,14,0,0,0
Eswatini,,,0,0,0,0,0,11,4,0
New Zealand,0,0,0,0,0,0,0,0,11,0
South Africa,0,0,0,0,0,1,0,0,9,0
"Korea, Republic of",0,0,0,0,0,0,6,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0
France,0,0,0,0,14619,0,0,0,0,0
"Tanzania, United Republic of",0,0,0,0,25,0,0,0,0,0
