"code","product_label.x","burundi_imported_value_2014","burundi_imported_value_2015","burundi_imported_value_2016","burundi_imported_value_2017","burundi_imported_value_2018","average_burundi_imports","average_burundi_exports"
"'27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",164731,117334,109790,153700,156090,140329,2116.6
"'87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",80596,44969,45096,64184,55947,58158.4,1967.2
"'30","Pharmaceutical products",49208,50491,54440,61889,60488,55303.2,138.4
"'85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",49488,53788,44804,34705,46354,45827.8,927.6
"'84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",45029,49209,35877,28353,46740,41041.6,1163.8
"'10","Cereals",29062,17432,28476,57810,42679,35091.8,79
"'72","Iron and steel",26675,19153,25596,37069,53418,32382.2,1754.2
"'31","Fertilisers",19938,14371,21733,29415,36200,24331.4,0
"'25","Salt; sulphur; earths and stone; plastering materials, lime and cement",22860,13623,17870,17415,25197,19393,124.6
"'63","Other made-up textile articles; sets; worn clothing and worn textile articles; rags",14990,8832,14891,28581,17270,16912.8,173.4
"'17","Sugars and sugar confectionery",9495,7328,11637,26076,23495,15606.2,191
