"code","product_label.x","kenya_imported_value_2001","kenya_imported_value_2002","kenya_imported_value_2003","kenya_imported_value_2004","kenya_imported_value_2005","kenya_imported_value_2006","kenya_imported_value_2007","kenya_imported_value_2008","kenya_imported_value_2009","kenya_imported_value_2010","kenya_imported_value_2011","kenya_imported_value_2012","kenya_imported_value_2013","kenya_imported_value_2014","kenya_imported_value_2015","kenya_imported_value_2016","kenya_imported_value_2017","kenya_imported_value_2018","product_label.y","kenya_exported_value_2001","kenya_exported_value_2002","kenya_exported_value_2003","kenya_exported_value_2004","kenya_exported_value_2005","kenya_exported_value_2006","kenya_exported_value_2007","kenya_exported_value_2008","kenya_exported_value_2009","kenya_exported_value_2010","kenya_exported_value_2011","kenya_exported_value_2012","kenya_exported_value_2013","kenya_exported_value_2014","kenya_exported_value_2015","kenya_exported_value_2016","kenya_exported_value_2017","kenya_exported_value_2018","average_kenya_imports","average_kenya_exports"
"'09","Coffee, tea, maté and spices",5655,6664,8679,15635,9015,12488,9917,6043,5999,19561,15806,17033,22400,21430,24778,17649,21323,28056,"Coffee, tea, maté and spices",549588,177102,574114,558583,698026,806159,870301,1093212,1104593,1380589,1388108,1484164,1422938,1318668,1473057,1453477,1667459,1617420,22647.2,1506016.2
"'06","Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",4028,2951,4528,9470,14533,15653,15329,15057,9166,10451,10847,8162,7393,9838,7638,6116,6150,6200,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",153069,124654,221328,273345,283898,358938,442150,579774,479395,454540,503475,507987,537952,621599,527756,555814,595627,625784,7188.4,585316
"'27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",836413,639935,802808,1108064,1342621,1756492,1930795,3048713,2223455,2699808,4111212,4113502,3884593,4059900,2508021,2112703,2741389,3391510,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",2102,430411,489819,616352,629000,256663,176409,200295,188996,218038,254136,258781,221370,615116,612607,425085,353738,386744,2962704.6,478658
"'07","Edible vegetables and certain roots and tubers",11876,7303,5665,5771,12376,19900,45393,28055,43024,34428,57414,71346,49424,50311,74725,55895,120772,115796,"Edible vegetables and certain roots and tubers",106488,74933,153336,161102,189831,212975,258223,274355,224844,270487,242264,254460,270852,246109,240718,264685,209156,250115,83499.8,242156.6
"'62","Articles of apparel and clothing accessories, not knitted or crocheted",6514,4432,5281,4932,11088,16774,31228,25946,21647,34466,29833,28722,34154,30599,17777,34905,82940,94105,"Articles of apparel and clothing accessories, not knitted or crocheted",2832,1592,3474,6716,135825,178123,164322,156362,89214,76122,95995,117306,140249,201518,183345,206129,190335,218353,52065.2,199936
"'08","Edible fruit and nuts; peel of citrus fruit or melons",2797,2494,2824,4228,3772,4894,9451,8808,9635,11227,13710,16901,19653,20356,21806,23784,29386,32892,"Edible fruit and nuts; peel of citrus fruit or melons",25918,10772,34385,43360,29280,32385,34208,43947,45799,61280,70429,81690,79777,102374,124598,149898,180738,232544,25644.8,158030.4
"'24","Tobacco and manufactured tobacco substitutes",15725,14957,4496,27055,29921,24552,44108,58682,39351,64963,90085,50476,96408,68310,46522,53309,38240,52008,"Tobacco and manufactured tobacco substitutes",39098,37726,48635,39489,69718,112703,127816,137687,136160,135828,212418,202003,161830,194354,162828,144696,134228,139675,51677.8,155156.2
"'26","Ores, slag and ash",1512,829,1978,8589,4376,5355,3838,8608,3856,5231,5456,6920,3856,7296,17688,14040,11854,12248,"Ores, slag and ash",2,66,5,19,9,560,386,1028,1386,2656,11209,8142,4058,101789,123901,142201,177325,212551,12625.2,151553.4
"'39","Plastics and articles thereof",147440,124906,147942,204039,267234,312374,384119,436809,371648,492322,605612,621174,707263,763152,728669,662441,673943,769488,"Plastics and articles thereof",39938,12254,46233,52208,78455,96513,102726,136087,114354,138875,164887,183630,174048,182280,163109,139219,129534,117675,719538.6,146363.4
"'30","Pharmaceutical products",88648,95227,109792,127821,158019,203554,222175,289295,283056,332480,431689,469079,446786,572237,604497,574929,518284,558597,"Pharmaceutical products",22086,8154,29946,28152,37797,43826,69722,81135,70241,74950,83347,139893,119543,130364,120753,140074,124196,130158,565708.8,129109
"'20","Preparations of vegetables, fruit, nuts or other parts of plants",4899,2735,2437,2959,4000,6674,7424,7034,11086,14654,22724,29670,14193,14960,14221,14724,19706,25229,"Preparations of vegetables, fruit, nuts or other parts of plants",65351,60649,73173,85224,86467,82565,109415,133149,88666,120647,119056,112792,152124,134000,131559,118278,110403,108107,17768,120469.4
