"code","product_label.x","kenya_imported_value_2001","kenya_imported_value_2002","kenya_imported_value_2003","kenya_imported_value_2004","kenya_imported_value_2005","kenya_imported_value_2006","kenya_imported_value_2007","kenya_imported_value_2008","kenya_imported_value_2009","kenya_imported_value_2010","kenya_imported_value_2011","kenya_imported_value_2012","kenya_imported_value_2013","kenya_imported_value_2014","kenya_imported_value_2015","kenya_imported_value_2016","kenya_imported_value_2017","kenya_imported_value_2018","product_label.y","kenya_exported_value_2001","kenya_exported_value_2002","kenya_exported_value_2003","kenya_exported_value_2004","kenya_exported_value_2005","kenya_exported_value_2006","kenya_exported_value_2007","kenya_exported_value_2008","kenya_exported_value_2009","kenya_exported_value_2010","kenya_exported_value_2011","kenya_exported_value_2012","kenya_exported_value_2013","kenya_exported_value_2014","kenya_exported_value_2015","kenya_exported_value_2016","kenya_exported_value_2017","kenya_exported_value_2018","average_kenya_imports","average_kenya_exports"
"'27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",836413,639935,802808,1108064,1342621,1756492,1930795,3048713,2223455,2699808,4111212,4113502,3884593,4059900,2508021,2112703,2741389,3391510,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",2102,430411,489819,616352,629000,256663,176409,200295,188996,218038,254136,258781,221370,615116,612607,425085,353738,386744,2962704.6,478658
"'84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",331843,248026,278555,358201,478393,600087,801112,1084343,966569,1215779,1451962,1783155,1821515,1958964,1742786,1586702,1827758,1665765,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",7211,19701,33637,13795,28968,49626,45484,46495,61597,91512,97031,129240,97360,102124,86998,89331,68118,99111,1756395,89136.4
"'87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",246463,243657,272866,353138,426943,630681,820902,849702,815898,898704,971529,1134507,1319215,1477496,1611498,1138958,1114172,1228148,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",4580,14565,26566,14800,40722,48059,53590,62559,86474,76715,90087,81400,94945,71503,67525,74197,54526,84002,1314054.4,70350.6
"'85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",300338,229739,174836,282294,273464,415134,685343,952009,973404,1192300,1030731,1245402,1244156,1238413,1122140,1431721,1121391,1206015,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",5225,15783,15022,14788,25571,37282,64813,100304,78331,88097,83426,108210,119010,69813,77722,135107,59130,56865,1223936,79727.4
"'10","Cereals",177989,91871,131496,183830,173680,201617,239646,391008,749231,396749,636862,631453,577097,719484,647333,494603,1111188,843242,"Cereals",594,6730,5283,4078,6983,5385,14777,10611,9313,26016,16058,20825,32025,31230,40193,30264,34163,33263,763170,33822.6
"'72","Iron and steel",143368,134888,164550,271451,266356,281955,382001,490379,397802,489107,661526,575610,774424,738193,714981,604605,734709,860532,"Iron and steel",42604,29962,53957,90936,112443,107750,106206,146372,104477,130602,179021,153768,153671,124973,110197,116192,107118,112749,730604,114245.8
"'39","Plastics and articles thereof",147440,124906,147942,204039,267234,312374,384119,436809,371648,492322,605612,621174,707263,763152,728669,662441,673943,769488,"Plastics and articles thereof",39938,12254,46233,52208,78455,96513,102726,136087,114354,138875,164887,183630,174048,182280,163109,139219,129534,117675,719538.6,146363.4
"'30","Pharmaceutical products",88648,95227,109792,127821,158019,203554,222175,289295,283056,332480,431689,469079,446786,572237,604497,574929,518284,558597,"Pharmaceutical products",22086,8154,29946,28152,37797,43826,69722,81135,70241,74950,83347,139893,119543,130364,120753,140074,124196,130158,565708.8,129109
"'15","Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...",129060,161472,163076,110343,183876,238548,343933,505827,369093,484683,632857,627949,562463,566421,473348,520565,656848,567731,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...",19630,19100,44210,46340,51574,62026,91221,110695,109001,150232,195143,190023,129341,105162,79503,109151,95782,115438,556982.6,101007.2
"'88","Aircraft, spacecraft, and parts thereof",424322,382740,217976,107498,603376,589681,499730,235505,349499,517652,263825,516518,251394,1466943,835488,76458,109285,161527,"Aircraft, spacecraft, and parts thereof",161,24670,2509,452,1967,1695,21349,2416,2176,2224,2808,745,1471,1517,213,303,1061,1527,529940.2,924.2
"'73","Articles of iron or steel",50383,47605,24044,40566,56168,68405,97803,134602,135528,150766,202405,331034,409036,381895,504934,465312,317927,398749,"Articles of iron or steel",15928,9240,21925,23227,29427,44264,52685,64600,53307,58317,74236,82224,75686,72896,57877,55445,44523,45462,413763.4,55240.6
