"code","product_label.x","rwanda_imported.value.in.2001","rwanda_imported.value.in.2002","rwanda_imported.value.in.2003","rwanda_imported.value.in.2004","rwanda_imported.value.in.2005","rwanda_imported.value.in.2006","rwanda_imported.value.in.2007","rwanda_imported.value.in.2008","rwanda_imported.value.in.2009","rwanda_imported.value.in.2010","rwanda_imported.value.in.2011","rwanda_imported.value.in.2012","rwanda_imported.value.in.2013","rwanda_imported.value.in.2014","rwanda_imported.value.in.2015","rwanda_imported.value.in.2016","rwanda_imported.value.in.2017","rwanda_imported.value.in.2018","product_label.y","rwanda_exported_value_2001","rwanda_exported_value_2002","rwanda_exported_value_2003","rwanda_exported_value_2004","rwanda_exported_value_2005","rwanda_exported_value_2006","rwanda_exported_value_2007","rwanda_exported_value_2008","rwanda_exported_value_2009","rwanda_exported_value_2010","rwanda_exported_value_2011","rwanda_exported_value_2012","rwanda_exported_value_2013","rwanda_exported_value_2014","rwanda_exported_value_2015","rwanda_exported_value_2016","rwanda_exported_value_2017","rwanda_exported_value_2018","average_rwanda_imports","average_rwanda_exports"
"'27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",39765,40900,40980,46071,8389,16247,19594,42055,92510,68098,134466,134879,124067,84997,476390,463507,496728,552606,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",126341,2530,3429,3886,5017,2633,1034,1199,554,1715,20524,52328,72593,103525,89873,109285,137023,145517,414845.6,117044.6
"'85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",28872,16394,21914,26498,37687,43849,58935,165838,178391,140626,149067,178067,189202,232062,262314,260564,312081,294182,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",211,510,1692,1011,2292,900,1544,2606,8151,1829,2410,1552,4754,16550,8450,5478,6938,11942,272240.6,9871.6
"'84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",11750,21733,20255,24403,37180,44422,60658,112692,91503,132539,111744,186028,204114,179648,219629,227760,226823,255312,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",573,1248,274,930,5100,1378,4448,2968,4803,4030,2002,2847,7003,23478,7308,6393,2872,8500,221834.4,9710.2
"'87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",18550,24880,31412,26740,38857,47111,77505,91348,67785,186883,114474,123591,231795,98438,148739,176252,221099,177421,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2143,1672,1573,1484,4913,4634,6766,4631,24385,4210,19783,31573,13645,12028,17465,7133,15653,13217,164389.8,13099.2
"'10","Cereals",14095,4862,3176,6279,4298,10740,15429,14116,34212,61611,69235,103351,107743,105171,106686,127461,181130,176200,"Cereals",13,0,293,8,44,228,944,239,544,327,359,5790,14995,15144,19552,26236,32019,32658,139329.6,25121.8
"'15","Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...",9014,7365,6121,13986,13801,18866,22898,32605,38066,46633,66773,77987,70612,80340,92505,96941,108906,116589,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...",19,0,33,274,0,17,32,13,117,35,96,2544,7778,12594,20809,26914,28759,41226,99056.2,26060.4
"'30","Pharmaceutical products",8834,13637,12771,21005,28666,34535,36459,48072,78661,66113,84689,76949,100621,98126,89308,93287,113699,87745,"Pharmaceutical products",1,40,66,40,158,223,356,328,154,226,1537,353,267,120,243,232,489,199,96433,256.6
"'72","Iron and steel",9893,7978,10310,10933,14971,20914,26806,60833,49229,61633,82981,92245,84111,82625,99764,76738,80711,105832,"Iron and steel",144,49,9,62,144,123,449,2704,2378,2248,1792,5274,5304,11980,1913,2613,6970,9570,89134,6609.2
"'25","Salt; sulphur; earths and stone; plastering materials, lime and cement",6311,4583,6725,7955,12673,17552,28614,55697,45979,62160,76305,98424,101296,99642,105779,77393,55740,68038,"Salt; sulphur; earths and stone; plastering materials, lime and cement",1,0,12,86,62,20,899,1511,2166,1337,1068,3238,3777,5439,8333,6921,18884,11157,81318.4,10146.8
"'39","Plastics and articles thereof",6094,6313,8591,9461,12958,14055,17029,28207,34820,42620,37632,50529,43944,117635,59068,69508,69619,79901,"Plastics and articles thereof",52,96,26,35,153,274,603,1444,682,968,1683,2737,4251,2350,1508,1435,2247,3306,79146.2,2169.2
"'17","Sugars and sugar confectionery",8572,5949,5049,4581,6417,12232,17800,19241,23173,45151,48004,65404,57773,61571,74939,68924,114622,71682,"Sugars and sugar confectionery",0,12,1,3,3,22,74,5,97,57,37,2467,10349,3459,2278,1512,3736,7558,78347.6,3708.6
