"code","product_label.x","ssudan_imported.value_2001","ssudan_imported.value_2002","ssudan_imported.value_2003","ssudan_imported.value_2004","ssudan_imported.value_2005","ssudan_imported.value_2006","ssudan_imported.value_2007","ssudan_imported.value_2008","ssudan_imported.value_2009","ssudan_imported.value_2010","ssudan_imported.value_2011","ssudan_imported.value_2012","ssudan_imported.value_2013","ssudan_imported.value_2014","ssudan_imported.value_2015","ssudan_imported.value_2016","ssudan_imported.value_2017","ssudan_imported.value_2018","ssudan_imported.value.in.2019","product_label.y","ssudan_exported_value_2001","ssudan_exported_value_2002","ssudan_exported_value_2003","ssudan_exported_value_2004","ssudan_exported_value_2005","ssudan_exported_value_2006","ssudan_exported_value_2007","ssudan_exported_value_2008","ssudan_exported_value_2009","ssudan_exported_value_2010","ssudan_exported_value_2011","ssudan_exported_value_2012","ssudan_exported_value_2013","ssudan_exported_value_2014","ssudan_exported_value_2015","ssudan_exported_value_2016","ssudan_exported_value_2017","ssudan_exported_value_2018","ssudan_exported.value.in.2019","average_ssudan_imports","average_ssudan_exports"
"'87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23758,53840,78588,111320,34400,22352,115362,NA,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,140,110,187,127,156,92,NA,72404.4,144
"'10","Cereals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5373,38337,90897,69273,80557,87314,15141,NA,"Cereals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13550,38,1,8,8,NA,68636.4,2719.6
"'17","Sugars and sugar confectionery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11612,59764,56536,42081,55078,44153,4818,NA,"Sugars and sugar confectionery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,40533.2,NA
"'84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38272,54317,44421,56598,24507,22713,35276,NA,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,104,1747,510,910,1797,70,NA,36703,1013.6
"'85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24666,50992,23699,75031,23916,18257,33252,NA,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,127,265,399,138,317,127,NA,34831,249.2
"'22","Beverages, spirits and vinegar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18772,46012,50570,39285,25659,31165,19150,NA,"Beverages, spirits and vinegar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,25,2,NA,33165.8,44.5
"'11","Products of the milling industry; malt; starches; inulin; wheat gluten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2080,19771,38665,38390,21531,30834,1327,NA,"Products of the milling industry; malt; starches; inulin; wheat gluten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5,NA,26149.4,2
"'27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5018,7448,51900,24570,21796,15683,7932,NA,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,643472,2468314,4393631,2326874,1459767,1270082,1588403,NA,24376.2,2383733.6
"'30","Pharmaceutical products",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15780,34213,19229,30545,20206,14235,28844,NA,"Pharmaceutical products",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,782,27,NA,NA,NA,NA,NA,22611.8,404.5
"'73","Articles of iron or steel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9225,26197,26538,32764,21898,11735,17548,NA,"Articles of iron or steel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,84,69,24,18,11,NA,22096.6,40.2
"'25","Salt; sulphur; earths and stone; plastering materials, lime and cement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23672,32953,28251,33161,15921,11570,8542,NA,"Salt; sulphur; earths and stone; plastering materials, lime and cement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,15,NA,19489,3
