"code","product_label.x","tanzania_exported_value_2001","tanzania_exported_value_2002","tanzania_exported_value_2003","tanzania_exported_value_2004","tanzania_exported_value_2005","tanzania_exported_value_2006","tanzania_exported_value_2007","tanzania_exported_value_2008","tanzania_exported_value_2009","tanzania_exported_value_2010","tanzania_exported_value_2011","tanzania_exported_value_2012","tanzania_exported_value_2013","tanzania_exported_value_2014","tanzania_exported_value_2015","tanzania_exported_value_2016","tanzania_exported_value_2017","tanzania_exported_value_2018","product_label.y","tanzania_imported_value_2001","tanzania_imported_value_2002","tanzania_imported_value_2003","tanzania_imported_value_2004","tanzania_imported_value_2005","tanzania_imported_value_2006","tanzania_imported_value_2007","tanzania_imported_value_2008","tanzania_imported_value_2009","tanzania_imported_value_2010","tanzania_imported_value_2011","tanzania_imported_value_2012","tanzania_imported_value_2013","tanzania_imported_value_2014","tanzania_imported_value_2015","tanzania_imported_value_2016","tanzania_imported_value_2017","tanzania_imported_value_2018","average_tanzania_imports","average_tanzania_exports"
"'71","Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",254814,311320,491580,576619,585270,647140,616713,833605,859570,1004395,1764316,1911817,1621083,1361293,1459885,1716525,1627272,1599004,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",886,338,854,678,683,1522,1463,1816,1371,1537,1754,2691,1928,1696,2020,1890,1369,1253,1645.6,1552795.8
"'08","Edible fruit and nuts; peel of citrus fruit or melons",57767,49057,46965,73020,47679,51136,30045,74048,92324,127593,128706,189859,193785,399550,279315,359161,554779,139197,"Edible fruit and nuts; peel of citrus fruit or melons",527,660,769,819,880,1208,1811,2427,3008,3573,4802,4377,5801,5666,4689,4896,4652,4567,4894,346400.4
"'26","Ores, slag and ash",45674,75238,61968,105457,102083,178176,201250,350549,501675,823937,1027447,832828,400136,713718,471293,323426,62721,410,"Ores, slag and ash",489,318,154,129,336,1039,185,377,294,285,2566,232,8711,3221,1854,1149,699,1558,1696.2,314313.6
"'24","Tobacco and manufactured tobacco substitutes",35762,56155,46786,66693,136744,105012,96738,180599,97871,141212,123316,223124,129077,322943,293555,370410,216985,290432,"Tobacco and manufactured tobacco substitutes",3126,562,3323,4581,7595,5564,6152,8271,15042,2946,8714,19042,34236,32038,15202,11178,5814,10467,14939.8,298865
"'07","Edible vegetables and certain roots and tubers",18458,20836,30198,25174,39346,25746,58135,78058,64057,100359,74285,133596,105051,249765,398570,186897,171274,118648,"Edible vegetables and certain roots and tubers",5632,3957,3045,3619,4866,4652,4694,2242,3207,801,2367,4328,3442,5516,3392,5726,8652,8151,6287.4,225030.8
"'09","Coffee, tea, maté and spices",96826,70844,85572,90961,115974,118026,164630,162140,204556,173319,225496,281864,261063,213482,228975,208967,204531,195782,"Coffee, tea, maté and spices",205,247,212,268,357,475,313,491,589,610,1086,1280,1541,2394,1613,2307,1786,1236,1867.2,210347.4
"'03","Fish and crustaceans, molluscs and other aquatic invertebrates",95990,116731,136293,125656,151185,189613,165672,184385,224742,150565,148795,166001,129151,188395,236648,141945,192766,156740,"Fish and crustaceans, molluscs and other aquatic invertebrates",594,51,455,121,447,819,2129,3728,3654,4364,3267,6091,9210,18007,17250,21705,14554,10290,16361.2,183298.8
"'12","Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",13764,15376,20331,26028,25137,30301,47686,63448,87641,77712,103595,157082,170849,360450,166246,165870,89471,104116,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",3873,2909,4210,3557,1696,2754,8428,12078,9123,10952,10216,61328,9209,31445,17489,20671,17814,18239,21131.6,177230.6
"'23","Residues and waste from the food industries; prepared animal fodder",3061,3739,4657,5806,7930,10946,8825,27658,25593,19502,25271,75374,47556,114773,293286,202267,39876,55801,"Residues and waste from the food industries; prepared animal fodder",647,747,1320,1006,1381,1479,2229,2596,3228,4200,4285,6087,7125,10802,8151,10270,12386,24413,13204.4,141200.6
"'15","Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...",1362,4799,3920,4671,8054,11312,20072,52477,16605,56113,55561,53448,35458,277374,342473,22084,19779,12917,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...",65307,66189,84385,81182,95562,221404,250257,203632,125547,211334,317678,297957,233322,427449,263998,299122,278497,236985,301210.2,134925.4
"'85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",5007,2960,1886,5747,9598,12170,35819,109567,78829,69021,64388,35755,30132,29747,378322,19028,9020,17411,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",196492,116796,131125,154472,216532,411367,540957,600049,468241,473147,711369,743937,623870,745637,963230,616256,565061,507074,679451.6,90705.6
