"code","product_label.x","uganda_imported_2001","uganda_imported_2002","uganda_imported_2003","uganda_imported_2004","uganda_imported_2005","uganda_imported_2006","uganda_imported_2007","uganda_imported_2008","uganda_imported_2009","uganda_imported_2010","uganda_imported_2011","uganda_imported_2012","uganda_imported_2013","uganda_imported_2014","uganda_imported_2015","uganda_imported_2016","uganda_imported_2017","uganda_imported_2018","product_label.y","uganda_exported_value_2001","uganda_exported_value_2002","uganda_exported_value_2003","uganda_exported_value_2004","uganda_exported_value_2005","uganda_exported_value_2006","uganda_exported_value_2007","uganda_exported_value_2008","uganda_exported_value_2009","uganda_exported_value_2010","uganda_exported_value_2011","uganda_exported_value_2012","uganda_exported_value_2013","uganda_exported_value_2014","uganda_exported_value_2015","uganda_exported_value_2016","uganda_exported_value_2017","uganda_exported_value_2018","average_uganda_imports","average_uganda_exports"
"'27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",164137,176088,190076,221115,349887,541833,658438,865995,747569,937782,1318839,1366561,1340564,1444391,1032032,796595,1036348,1318770,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",22826,26438,41679,40219,37838,42224,49045,61626,115949,88421,124056,156382,153806,184033,149045,141733,186864,166822,165699.4,1125627.2
"'84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",71714,87697,119582,149730,164017,181430,267706,364610,427140,512524,486135,702156,443366,490889,482977,404501,558553,535907,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",3481,3343,8388,8342,8892,10621,31325,49084,60697,44155,51897,50637,66804,63065,59785,60240,22984,23369,45888.6,494565.4
"'87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",90220,107815,116212,153793,206982,224019,298204,348338,384722,430359,509203,533887,530275,543674,530664,420812,458422,508596,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",3004,4595,6570,8388,13641,19955,37229,45301,54461,54562,63585,84469,73724,46616,48550,44740,33891,38410,42441.4,492433.6
"'85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",118168,80690,101910,158464,165233,246099,482966,527230,451076,416936,532470,500806,389686,374131,423399,300764,316387,411522,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",2685,2597,1721,6852,18413,56753,95557,89336,73020,93904,144938,176786,62907,18759,34354,21650,18137,18499,22279.8,365240.6
"'30","Pharmaceutical products",47419,45499,73082,77553,81778,119741,172046,241669,208618,198960,255517,251832,347689,358081,370962,312419,268821,281159,"Pharmaceutical products",1334,1203,2755,1799,1333,1424,2734,4243,4053,4410,4037,9124,10618,9744,12281,25569,15029,22743,17073.2,318288.4
"'39","Plastics and articles thereof",30928,29382,44175,61672,83964,96438,130297,160230,135863,160129,226962,236070,234863,266973,286357,243574,289115,386504,"Plastics and articles thereof",1663,1232,1424,4386,3967,4932,8617,13431,11895,11747,20402,28473,34425,37077,34173,21712,24749,32374,30017,294504.6
"'72","Iron and steel",41612,52307,73426,89369,110602,133857,162820,293412,210351,223414,264141,242011,251911,251053,279557,209653,283565,369384,"Iron and steel",2189,2996,7287,13486,24696,22504,40538,65896,56983,54184,78209,83309,94320,93129,86597,70840,65954,85331,80370.2,278642.4
"'15","Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...",23646,36304,56992,63074,68397,82593,116695,209268,131911,189291,247918,250172,227963,268131,210122,230788,275492,248426,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...",3302,2814,4666,6775,9989,17088,62850,46121,49519,55181,101111,110427,100062,102471,79066,62091,70212,79467,78661.4,246591.8
"'10","Cereals",40075,56087,86490,110255,125873,142628,140133,147189,178640,162966,200990,276999,221868,246672,178461,180008,249275,236357,"Cereals",14546,6694,9350,13136,16367,22322,19919,21738,35088,49617,39258,86495,91792,96838,142102,144252,183059,192024,151655,218154.6
"'63","Other made-up textile articles; sets; worn clothing and worn textile articles; rags",30020,33847,37658,39250,42203,49506,61025,62350,59095,98205,70566,83149,130809,131088,111569,147497,121409,121498,"Other made-up textile articles; sets; worn clothing and worn textile articles; rags",2586,2972,2836,4225,5862,5296,9135,18510,13308,11318,13108,18369,13281,10575,9243,9659,10347,9668,9898.4,126612.2
"'25","Salt; sulphur; earths and stone; plastering materials, lime and cement",30737,35662,44108,45727,54342,58844,81414,124974,136860,129037,133452,136708,113398,137804,128358,115604,113794,133182,"Salt; sulphur; earths and stone; plastering materials, lime and cement",554,1025,2668,3269,3873,6610,20620,78969,84252,74877,98207,115318,105894,93786,85196,66442,47177,60558,70631.8,125748.4
