"code","product_label.x","uganda_imported_2001","uganda_imported_2002","uganda_imported_2003","uganda_imported_2004","uganda_imported_2005","uganda_imported_2006","uganda_imported_2007","uganda_imported_2008","uganda_imported_2009","uganda_imported_2010","uganda_imported_2011","uganda_imported_2012","uganda_imported_2013","uganda_imported_2014","uganda_imported_2015","uganda_imported_2016","uganda_imported_2017","uganda_imported_2018","product_label.y","uganda_exported_value_2001","uganda_exported_value_2002","uganda_exported_value_2003","uganda_exported_value_2004","uganda_exported_value_2005","uganda_exported_value_2006","uganda_exported_value_2007","uganda_exported_value_2008","uganda_exported_value_2009","uganda_exported_value_2010","uganda_exported_value_2011","uganda_exported_value_2012","uganda_exported_value_2013","uganda_exported_value_2014","uganda_exported_value_2015","uganda_exported_value_2016","uganda_exported_value_2017","uganda_exported_value_2018","average_uganda_imports","average_uganda_exports"
"'09","Coffee, tea, maté and spices",512,878,887,866,1458,2343,2503,3825,3321,4756,5039,4198,4005,21182,18993,12022,20881,12261,"Coffee, tea, maté and spices",131059,135025,149997,168021,214052,245746,320111,454794,346692,359716,548005,453752,516626,498666,477738,450615,651655,536033,522941.4,17067.8
"'71","Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",332,222,227,312,229,359,407,658,612,867,1349,760,876,621,657,616,842,335513,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",50723,60972,33736,61257,73048,123994,67827,43765,13377,30700,7540,9835,3731,779,35782,339571,418471,516907,262302,67649.8
"'27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",164137,176088,190076,221115,349887,541833,658438,865995,747569,937782,1318839,1366561,1340564,1444391,1032032,796595,1036348,1318770,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",22826,26438,41679,40219,37838,42224,49045,61626,115949,88421,124056,156382,153806,184033,149045,141733,186864,166822,165699.4,1125627.2
"'10","Cereals",40075,56087,86490,110255,125873,142628,140133,147189,178640,162966,200990,276999,221868,246672,178461,180008,249275,236357,"Cereals",14546,6694,9350,13136,16367,22322,19919,21738,35088,49617,39258,86495,91792,96838,142102,144252,183059,192024,151655,218154.6
"'03","Fish and crustaceans, molluscs and other aquatic invertebrates",83,49,604,79,41,134,561,720,579,1381,1829,1834,1241,1416,1508,1520,4652,9956,"Fish and crustaceans, molluscs and other aquatic invertebrates",75429,85805,84606,99634,138365,140590,117681,119012,109165,129121,135546,123496,125847,134792,117597,121467,136204,169907,135993.4,3810.4
"'17","Sugars and sugar confectionery",24316,16077,14929,23047,28981,42443,71320,71374,75161,90488,136239,160823,146850,110193,102800,81851,122598,97639,"Sugars and sugar confectionery",1731,694,619,1831,6884,11760,33609,39611,45230,60169,81892,123270,85861,69180,66284,100485,91711,108237,87179.4,103016.2
"'07","Edible vegetables and certain roots and tubers",1451,2695,5432,13765,17283,7766,13235,8443,1648,1525,2938,3481,3042,8638,7016,7184,17067,12463,"Edible vegetables and certain roots and tubers",3174,4898,7222,10162,10114,11481,14419,22515,19533,14348,23067,20461,32075,39535,79637,72399,110427,125817,85563,10473.6
"'72","Iron and steel",41612,52307,73426,89369,110602,133857,162820,293412,210351,223414,264141,242011,251911,251053,279557,209653,283565,369384,"Iron and steel",2189,2996,7287,13486,24696,22504,40538,65896,56983,54184,78209,83309,94320,93129,86597,70840,65954,85331,80370.2,278642.4
"'15","Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...",23646,36304,56992,63074,68397,82593,116695,209268,131911,189291,247918,250172,227963,268131,210122,230788,275492,248426,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...",3302,2814,4666,6775,9989,17088,62850,46121,49519,55181,101111,110427,100062,102471,79066,62091,70212,79467,78661.4,246591.8
"'25","Salt; sulphur; earths and stone; plastering materials, lime and cement",30737,35662,44108,45727,54342,58844,81414,124974,136860,129037,133452,136708,113398,137804,128358,115604,113794,133182,"Salt; sulphur; earths and stone; plastering materials, lime and cement",554,1025,2668,3269,3873,6610,20620,78969,84252,74877,98207,115318,105894,93786,85196,66442,47177,60558,70631.8,125748.4
"'24","Tobacco and manufactured tobacco substitutes",964,1126,1380,3154,4028,5646,9283,10669,11895,11952,14018,11256,9428,10395,9840,8203,8245,6817,"Tobacco and manufactured tobacco substitutes",32402,45286,43212,40789,32281,27654,67264,69350,62481,68846,55225,69844,120201,66018,72897,64061,52762,86372,68422,8700
